Category: All categories

Day,5G: (United Kingdom)
2020-03-01,7
2020-03-02,9
2020-03-03,7
2020-03-04,5
2020-03-05,7
2020-03-06,6
2020-03-07,6
2020-03-08,7
2020-03-09,9
2020-03-10,13
2020-03-11,13
2020-03-12,12
2020-03-13,13
2020-03-14,13
2020-03-15,14
2020-03-16,14
2020-03-17,17
2020-03-18,12
2020-03-19,13
2020-03-20,9
2020-03-21,10
2020-03-22,11
2020-03-23,11
2020-03-24,12
2020-03-25,14
2020-03-26,16
2020-03-27,18
2020-03-28,22
2020-03-29,28
2020-03-30,42
2020-03-31,57
2020-04-01,83
2020-04-02,96
2020-04-03,96
2020-04-04,100
2020-04-05,66
2020-04-06,47
2020-04-07,41
2020-04-08,31
2020-04-09,25
2020-04-10,21
2020-04-11,17
2020-04-12,18
2020-04-13,25
2020-04-14,26
2020-04-15,15
2020-04-16,15
2020-04-17,12
2020-04-18,12
2020-04-19,12
2020-04-20,16
2020-04-21,11
2020-04-22,10
2020-04-23,11
2020-04-24,9
2020-04-25,9
2020-04-26,10
2020-04-27,11
2020-04-28,9
2020-04-29,8
2020-04-30,9
2020-05-01,8
2020-05-02,10
2020-05-03,10
2020-05-04,10
2020-05-05,9
2020-05-06,7
2020-05-07,7
2020-05-08,7
2020-05-09,7
2020-05-10,7
2020-05-11,9
2020-05-12,7
2020-05-13,7
2020-05-14,8
2020-05-15,8
2020-05-16,9
2020-05-17,11
2020-05-18,7
2020-05-19,9
2020-05-20,6
2020-05-21,7
2020-05-22,7
2020-05-23,6
2020-05-24,8
2020-05-25,8
