Day,Customer Journey: (United Kingdom)
01/03/2020,0
02/03/2020,69
03/03/2020,45
04/03/2020,45
05/03/2020,51
06/03/2020,73
07/03/2020,86
08/03/2020,63
09/03/2020,67
10/03/2020,39
11/03/2020,39
12/03/2020,58
13/03/2020,76
14/03/2020,32
15/03/2020,31
16/03/2020,29
17/03/2020,72
18/03/2020,29
19/03/2020,44
20/03/2020,87
21/03/2020,64
22/03/2020,65
23/03/2020,100
24/03/2020,91
25/03/2020,56
26/03/2020,38
27/03/2020,53
28/03/2020,30
29/03/2020,31
30/03/2020,45
31/03/2020,55
01/04/2020,41
02/04/2020,95
03/04/2020,42
04/04/2020,30
05/04/2020,31
06/04/2020,27
07/04/2020,85
08/04/2020,38
09/04/2020,28
10/04/2020,90
11/04/2020,31
12/04/2020,30
13/04/2020,29
14/04/2020,70
15/04/2020,43
16/04/2020,75
17/04/2020,28
18/04/2020,59
19/04/2020,41
20/04/2020,54
21/04/2020,55
22/04/2020,56
23/04/2020,63
24/04/2020,56
25/04/2020,31
26/04/2020,0
27/04/2020,27
28/04/2020,53
29/04/2020,26
30/04/2020,37
01/05/2020,45
02/05/2020,45
03/05/2020,45
04/05/2020,40
05/05/2020,51
06/05/2020,27
07/05/2020,56
08/05/2020,39
09/05/2020,0
10/05/2020,57
11/05/2020,62
12/05/2020,54
13/05/2020,80
14/05/2020,27
15/05/2020,92
16/05/2020,30
17/05/2020,0
18/05/2020,64
19/05/2020,73
20/05/2020,47
21/05/2020,42
22/05/2020,53
23/05/2020,43
24/05/2020,61
25/05/2020,32
