Day,Gamification: (United Kingdom)
01/03/2020,0
02/03/2020,55
03/03/2020,46
04/03/2020,55
05/03/2020,42
06/03/2020,58
07/03/2020,30
08/03/2020,44
09/03/2020,27
10/03/2020,36
11/03/2020,27
12/03/2020,35
13/03/2020,28
14/03/2020,0
15/03/2020,29
16/03/2020,41
17/03/2020,36
18/03/2020,0
19/03/2020,27
20/03/2020,0
21/03/2020,0
22/03/2020,30
23/03/2020,31
24/03/2020,38
25/03/2020,26
26/03/2020,27
27/03/2020,0
28/03/2020,0
29/03/2020,28
30/03/2020,25
31/03/2020,38
01/04/2020,51
02/04/2020,38
03/04/2020,0
04/04/2020,0
05/04/2020,29
06/04/2020,49
07/04/2020,26
08/04/2020,26
09/04/2020,52
10/04/2020,28
11/04/2020,0
12/04/2020,28
13/04/2020,41
14/04/2020,0
15/04/2020,27
16/04/2020,66
17/04/2020,38
18/04/2020,27
19/04/2020,29
20/04/2020,50
21/04/2020,26
22/04/2020,26
23/04/2020,50
24/04/2020,26
25/04/2020,28
26/04/2020,0
27/04/2020,38
28/04/2020,24
29/04/2020,25
30/04/2020,35
01/05/2020,100
02/05/2020,28
03/05/2020,42
04/05/2020,50
05/05/2020,47
06/05/2020,38
07/05/2020,26
08/05/2020,55
09/05/2020,0
10/05/2020,26
11/05/2020,41
12/05/2020,51
13/05/2020,62
14/05/2020,25
15/05/2020,51
16/05/2020,28
17/05/2020,47
18/05/2020,42
19/05/2020,25
20/05/2020,26
21/05/2020,26
22/05/2020,25
23/05/2020,27
24/05/2020,42
25/05/2020,30
