Day,Generation Y: (United Kingdom)
01/03/2020,38
02/03/2020,54
03/03/2020,36
04/03/2020,59
05/03/2020,36
06/03/2020,37
07/03/2020,58
08/03/2020,38
09/03/2020,68
10/03/2020,87
11/03/2020,70
12/03/2020,69
13/03/2020,73
14/03/2020,52
15/03/2020,38
16/03/2020,52
17/03/2020,34
18/03/2020,68
19/03/2020,35
20/03/2020,35
21/03/2020,38
22/03/2020,58
23/03/2020,30
24/03/2020,65
25/03/2020,34
26/03/2020,34
27/03/2020,32
28/03/2020,36
29/03/2020,36
30/03/2020,54
31/03/2020,33
01/04/2020,33
02/04/2020,65
03/04/2020,0
04/04/2020,36
05/04/2020,37
06/04/2020,0
07/04/2020,67
08/04/2020,0
09/04/2020,85
10/04/2020,0
11/04/2020,55
12/04/2020,72
13/04/2020,47
14/04/2020,34
15/04/2020,58
16/04/2020,67
17/04/2020,33
18/04/2020,35
19/04/2020,37
20/04/2020,0
21/04/2020,82
22/04/2020,34
23/04/2020,80
24/04/2020,33
25/04/2020,37
26/04/2020,54
27/04/2020,32
28/04/2020,31
29/04/2020,32
30/04/2020,29
01/05/2020,33
02/05/2020,70
03/05/2020,54
04/05/2020,32
05/05/2020,45
06/05/2020,65
07/05/2020,66
08/05/2020,0
09/05/2020,37
10/05/2020,67
11/05/2020,32
12/05/2020,65
13/05/2020,64
14/05/2020,32
15/05/2020,66
16/05/2020,36
17/05/2020,73
18/05/2020,0
19/05/2020,32
20/05/2020,34
21/05/2020,100
22/05/2020,33
23/05/2020,34
24/05/2020,73
25/05/2020,75
