Day,Generation Z: (United Kingdom)
01/03/2020,57
02/03/2020,54
03/03/2020,59
04/03/2020,70
05/03/2020,41
06/03/2020,23
07/03/2020,47
08/03/2020,69
09/03/2020,36
10/03/2020,63
11/03/2020,48
12/03/2020,67
13/03/2020,49
14/03/2020,44
15/03/2020,45
16/03/2020,80
17/03/2020,42
18/03/2020,47
19/03/2020,59
20/03/2020,69
21/03/2020,63
22/03/2020,59
23/03/2020,50
24/03/2020,79
25/03/2020,56
26/03/2020,78
27/03/2020,43
28/03/2020,76
29/03/2020,28
30/03/2020,44
31/03/2020,44
01/04/2020,25
02/04/2020,29
03/04/2020,61
04/04/2020,55
05/04/2020,68
06/04/2020,44
07/04/2020,31
08/04/2020,46
09/04/2020,31
10/04/2020,27
11/04/2020,85
12/04/2020,55
13/04/2020,43
14/04/2020,51
15/04/2020,31
16/04/2020,46
17/04/2020,30
18/04/2020,24
19/04/2020,39
20/04/2020,58
21/04/2020,100
22/04/2020,46
23/04/2020,68
24/04/2020,56
25/04/2020,67
26/04/2020,50
27/04/2020,49
28/04/2020,43
29/04/2020,29
30/04/2020,27
01/05/2020,49
02/05/2020,32
03/05/2020,38
04/05/2020,36
05/05/2020,46
06/05/2020,40
07/05/2020,40
08/05/2020,40
09/05/2020,17
10/05/2020,36
11/05/2020,43
12/05/2020,49
13/05/2020,37
14/05/2020,64
15/05/2020,60
16/05/2020,27
17/05/2020,49
18/05/2020,15
19/05/2020,40
20/05/2020,36
21/05/2020,41
22/05/2020,39
23/05/2020,47
24/05/2020,22
25/05/2020,52
