Day,Ideation: (United Kingdom)
01/03/2020,26
02/03/2020,65
03/03/2020,74
04/03/2020,33
05/03/2020,38
06/03/2020,91
07/03/2020,27
08/03/2020,52
09/03/2020,59
10/03/2020,40
11/03/2020,0
12/03/2020,48
13/03/2020,100
14/03/2020,40
15/03/2020,26
16/03/2020,24
17/03/2020,60
18/03/2020,24
19/03/2020,41
20/03/2020,24
21/03/2020,0
22/03/2020,27
23/03/2020,48
24/03/2020,23
25/03/2020,35
26/03/2020,71
27/03/2020,22
28/03/2020,37
29/03/2020,25
30/03/2020,45
31/03/2020,57
01/04/2020,57
02/04/2020,23
03/04/2020,46
04/04/2020,25
05/04/2020,26
06/04/2020,33
07/04/2020,31
08/04/2020,24
09/04/2020,23
10/04/2020,25
11/04/2020,26
12/04/2020,0
13/04/2020,0
14/04/2020,31
15/04/2020,48
16/04/2020,55
17/04/2020,57
18/04/2020,49
19/04/2020,39
20/04/2020,78
21/04/2020,31
22/04/2020,46
23/04/2020,67
24/04/2020,23
25/04/2020,26
26/04/2020,26
27/04/2020,30
28/04/2020,59
29/04/2020,22
30/04/2020,52
01/05/2020,30
02/05/2020,49
03/05/2020,37
04/05/2020,44
05/05/2020,52
06/05/2020,30
07/05/2020,31
08/05/2020,25
09/05/2020,26
10/05/2020,24
11/05/2020,0
12/05/2020,30
13/05/2020,45
14/05/2020,45
15/05/2020,61
16/05/2020,74
17/05/2020,38
18/05/2020,38
19/05/2020,61
20/05/2020,47
21/05/2020,39
22/05/2020,30
23/05/2020,24
24/05/2020,51
25/05/2020,53
