Day,Offshoring: (United Kingdom)
01/03/2020,0
02/03/2020,72
03/03/2020,0
04/03/2020,71
05/03/2020,37
06/03/2020,0
07/03/2020,39
08/03/2020,0
09/03/2020,34
10/03/2020,0
11/03/2020,0
12/03/2020,35
13/03/2020,73
14/03/2020,59
15/03/2020,0
16/03/2020,35
17/03/2020,0
18/03/2020,35
19/03/2020,0
20/03/2020,0
21/03/2020,38
22/03/2020,0
23/03/2020,0
24/03/2020,0
25/03/2020,0
26/03/2020,35
27/03/2020,0
28/03/2020,72
29/03/2020,0
30/03/2020,32
31/03/2020,0
01/04/2020,0
02/04/2020,0
03/04/2020,34
04/04/2020,0
05/04/2020,37
06/04/2020,49
07/04/2020,0
08/04/2020,34
09/04/2020,34
10/04/2020,36
11/04/2020,37
12/04/2020,37
13/04/2020,36
14/04/2020,0
15/04/2020,35
16/04/2020,0
17/04/2020,0
18/04/2020,0
19/04/2020,0
20/04/2020,49
21/04/2020,33
22/04/2020,0
23/04/2020,32
24/04/2020,34
25/04/2020,0
26/04/2020,0
27/04/2020,33
28/04/2020,32
29/04/2020,0
30/04/2020,0
01/05/2020,0
02/05/2020,0
03/05/2020,72
04/05/2020,0
05/05/2020,0
06/05/2020,100
07/05/2020,33
08/05/2020,0
09/05/2020,0
10/05/2020,34
11/05/2020,0
12/05/2020,0
13/05/2020,32
14/05/2020,0
15/05/2020,0
16/05/2020,36
17/05/2020,0
18/05/2020,0
19/05/2020,0
20/05/2020,0
21/05/2020,0
22/05/2020,64
23/05/2020,0
24/05/2020,55
25/05/2020,38
