Day,Real Estate: (United Kingdom)
01/03/2020,76
02/03/2020,73
03/03/2020,100
04/03/2020,88
05/03/2020,81
06/03/2020,91
07/03/2020,58
08/03/2020,68
09/03/2020,80
10/03/2020,75
11/03/2020,74
12/03/2020,58
13/03/2020,80
14/03/2020,50
15/03/2020,62
16/03/2020,69
17/03/2020,66
18/03/2020,65
19/03/2020,56
20/03/2020,58
21/03/2020,74
22/03/2020,91
23/03/2020,61
24/03/2020,76
25/03/2020,71
26/03/2020,61
27/03/2020,57
28/03/2020,60
29/03/2020,65
30/03/2020,70
31/03/2020,82
01/04/2020,62
02/04/2020,53
03/04/2020,59
04/04/2020,71
05/04/2020,76
06/04/2020,76
07/04/2020,81
08/04/2020,79
09/04/2020,71
10/04/2020,72
11/04/2020,67
12/04/2020,78
13/04/2020,85
14/04/2020,70
15/04/2020,65
16/04/2020,62
17/04/2020,72
18/04/2020,61
19/04/2020,71
20/04/2020,65
21/04/2020,68
22/04/2020,53
23/04/2020,61
24/04/2020,71
25/04/2020,61
26/04/2020,70
27/04/2020,59
28/04/2020,49
29/04/2020,54
30/04/2020,52
01/05/2020,67
02/05/2020,82
03/05/2020,69
04/05/2020,62
05/05/2020,67
06/05/2020,77
07/05/2020,80
08/05/2020,78
09/05/2020,87
10/05/2020,78
11/05/2020,77
12/05/2020,78
13/05/2020,81
14/05/2020,73
15/05/2020,75
16/05/2020,81
17/05/2020,79
18/05/2020,73
19/05/2020,77
20/05/2020,82
21/05/2020,71
22/05/2020,73
23/05/2020,75
24/05/2020,65
25/05/2020,76
