Day,Value Investing: (United Kingdom)
01/03/2020,48
02/03/2020,45
03/03/2020,0
04/03/2020,0
05/03/2020,46
06/03/2020,0
07/03/2020,0
08/03/2020,48
09/03/2020,0
10/03/2020,66
11/03/2020,74
12/03/2020,0
13/03/2020,45
14/03/2020,49
15/03/2020,47
16/03/2020,45
17/03/2020,0
18/03/2020,43
19/03/2020,0
20/03/2020,0
21/03/2020,48
22/03/2020,49
23/03/2020,75
24/03/2020,41
25/03/2020,42
26/03/2020,72
27/03/2020,40
28/03/2020,45
29/03/2020,0
30/03/2020,0
31/03/2020,41
01/04/2020,83
02/04/2020,41
03/04/2020,42
04/04/2020,61
05/04/2020,0
06/04/2020,40
07/04/2020,85
08/04/2020,43
09/04/2020,85
10/04/2020,45
11/04/2020,47
12/04/2020,46
13/04/2020,67
14/04/2020,43
15/04/2020,44
16/04/2020,42
17/04/2020,41
18/04/2020,74
19/04/2020,47
20/04/2020,41
21/04/2020,0
22/04/2020,84
23/04/2020,41
24/04/2020,43
25/04/2020,0
26/04/2020,91
27/04/2020,82
28/04/2020,40
29/04/2020,40
30/04/2020,75
01/05/2020,41
02/05/2020,45
03/05/2020,45
04/05/2020,40
05/05/2020,0
06/05/2020,0
07/05/2020,83
08/05/2020,89
09/05/2020,0
10/05/2020,0
11/05/2020,100
12/05/2020,41
13/05/2020,40
14/05/2020,41
15/05/2020,62
16/05/2020,45
17/05/2020,92
18/05/2020,0
19/05/2020,41
20/05/2020,43
21/05/2020,63
22/05/2020,61
23/05/2020,65
24/05/2020,46
25/05/2020,48
