Day,Amazon: (United Kingdom)
01/03/2020,63
02/03/2020,62
03/03/2020,61
04/03/2020,61
05/03/2020,59
06/03/2020,60
07/03/2020,60
08/03/2020,61
09/03/2020,55
10/03/2020,57
11/03/2020,55
12/03/2020,56
13/03/2020,57
14/03/2020,64
15/03/2020,70
16/03/2020,65
17/03/2020,76
18/03/2020,73
19/03/2020,71
20/03/2020,71
21/03/2020,82
22/03/2020,82
23/03/2020,79
24/03/2020,88
25/03/2020,85
26/03/2020,83
27/03/2020,83
28/03/2020,98
29/03/2020,100
30/03/2020,91
31/03/2020,89
01/04/2020,91
02/04/2020,92
03/04/2020,91
04/04/2020,95
05/04/2020,95
06/04/2020,90
07/04/2020,89
08/04/2020,91
09/04/2020,91
10/04/2020,91
11/04/2020,90
12/04/2020,86
13/04/2020,94
14/04/2020,89
15/04/2020,92
16/04/2020,92
17/04/2020,91
18/04/2020,97
19/04/2020,92
20/04/2020,88
21/04/2020,94
22/04/2020,91
23/04/2020,90
24/04/2020,88
25/04/2020,93
26/04/2020,93
27/04/2020,89
28/04/2020,91
29/04/2020,89
30/04/2020,90
01/05/2020,91
02/05/2020,97
03/05/2020,99
04/05/2020,89
05/05/2020,90
06/05/2020,86
07/05/2020,81
08/05/2020,81
09/05/2020,85
10/05/2020,86
11/05/2020,87
12/05/2020,85
13/05/2020,84
14/05/2020,82
15/05/2020,83
16/05/2020,88
17/05/2020,91
18/05/2020,85
19/05/2020,85
20/05/2020,83
21/05/2020,85
22/05/2020,84
23/05/2020,92
24/05/2020,87
25/05/2020,87
