Day,Apple: (United Kingdom)
01/03/2020,68
02/03/2020,61
03/03/2020,66
04/03/2020,57
05/03/2020,58
06/03/2020,62
07/03/2020,67
08/03/2020,64
09/03/2020,58
10/03/2020,57
11/03/2020,57
12/03/2020,52
13/03/2020,54
14/03/2020,74
15/03/2020,64
16/03/2020,56
17/03/2020,58
18/03/2020,60
19/03/2020,61
20/03/2020,56
21/03/2020,70
22/03/2020,69
23/03/2020,56
24/03/2020,66
25/03/2020,63
26/03/2020,67
27/03/2020,63
28/03/2020,78
29/03/2020,81
30/03/2020,70
31/03/2020,72
01/04/2020,71
02/04/2020,67
03/04/2020,72
04/04/2020,75
05/04/2020,77
06/04/2020,68
07/04/2020,71
08/04/2020,70
09/04/2020,70
10/04/2020,73
11/04/2020,80
12/04/2020,78
13/04/2020,79
14/04/2020,74
15/04/2020,92
16/04/2020,88
17/04/2020,95
18/04/2020,100
19/04/2020,96
20/04/2020,80
21/04/2020,84
22/04/2020,86
23/04/2020,83
24/04/2020,87
25/04/2020,92
26/04/2020,91
27/04/2020,86
28/04/2020,87
29/04/2020,84
30/04/2020,85
01/05/2020,86
02/05/2020,90
03/05/2020,95
04/05/2020,85
05/05/2020,87
06/05/2020,85
07/05/2020,77
08/05/2020,78
09/05/2020,85
10/05/2020,88
11/05/2020,81
12/05/2020,82
13/05/2020,77
14/05/2020,77
15/05/2020,79
16/05/2020,89
17/05/2020,86
18/05/2020,77
19/05/2020,78
20/05/2020,75
21/05/2020,77
22/05/2020,82
23/05/2020,87
24/05/2020,88
25/05/2020,82
