Day,BMW: (United Kingdom)
01/03/2020,91
02/03/2020,87
03/03/2020,87
04/03/2020,89
05/03/2020,86
06/03/2020,100
07/03/2020,94
08/03/2020,90
09/03/2020,86
10/03/2020,81
11/03/2020,75
12/03/2020,64
13/03/2020,72
14/03/2020,79
15/03/2020,78
16/03/2020,66
17/03/2020,57
18/03/2020,57
19/03/2020,53
20/03/2020,55
21/03/2020,71
22/03/2020,59
23/03/2020,46
24/03/2020,44
25/03/2020,44
26/03/2020,43
27/03/2020,44
28/03/2020,49
29/03/2020,46
30/03/2020,46
31/03/2020,44
01/04/2020,45
02/04/2020,46
03/04/2020,46
04/04/2020,55
05/04/2020,51
06/04/2020,51
07/04/2020,53
08/04/2020,52
09/04/2020,50
10/04/2020,56
11/04/2020,51
12/04/2020,53
13/04/2020,54
14/04/2020,50
15/04/2020,49
16/04/2020,49
17/04/2020,52
18/04/2020,57
19/04/2020,58
20/04/2020,53
21/04/2020,50
22/04/2020,52
23/04/2020,50
24/04/2020,52
25/04/2020,55
26/04/2020,59
27/04/2020,53
28/04/2020,50
29/04/2020,54
30/04/2020,51
01/05/2020,55
02/05/2020,66
03/05/2020,72
04/05/2020,57
05/05/2020,59
06/05/2020,60
07/05/2020,55
08/05/2020,59
09/05/2020,64
10/05/2020,61
11/05/2020,58
12/05/2020,59
13/05/2020,63
14/05/2020,63
15/05/2020,64
16/05/2020,71
17/05/2020,74
18/05/2020,68
19/05/2020,66
20/05/2020,67
21/05/2020,70
22/05/2020,69
23/05/2020,77
24/05/2020,79
25/05/2020,75
