Day,EasyJet: (United Kingdom)
01/03/2020,32
02/03/2020,42
03/03/2020,36
04/03/2020,39
05/03/2020,52
06/03/2020,38
07/03/2020,29
08/03/2020,36
09/03/2020,45
10/03/2020,49
11/03/2020,39
12/03/2020,43
13/03/2020,59
14/03/2020,82
15/03/2020,77
16/03/2020,100
17/03/2020,60
18/03/2020,57
19/03/2020,45
20/03/2020,38
21/03/2020,27
22/03/2020,23
23/03/2020,32
24/03/2020,30
25/03/2020,27
26/03/2020,27
27/03/2020,26
28/03/2020,20
29/03/2020,23
30/03/2020,55
31/03/2020,29
01/04/2020,25
02/04/2020,23
03/04/2020,19
04/04/2020,14
05/04/2020,14
06/04/2020,23
07/04/2020,24
08/04/2020,24
09/04/2020,19
10/04/2020,17
11/04/2020,14
12/04/2020,13
13/04/2020,15
14/04/2020,19
15/04/2020,18
16/04/2020,23
17/04/2020,21
18/04/2020,15
19/04/2020,12
20/04/2020,17
21/04/2020,17
22/04/2020,24
23/04/2020,18
24/04/2020,15
25/04/2020,12
26/04/2020,12
27/04/2020,16
28/04/2020,19
29/04/2020,17
30/04/2020,17
01/05/2020,19
02/05/2020,12
03/05/2020,12
04/05/2020,17
05/05/2020,18
06/05/2020,18
07/05/2020,18
08/05/2020,11
09/05/2020,12
10/05/2020,13
11/05/2020,22
12/05/2020,22
13/05/2020,17
14/05/2020,16
15/05/2020,12
16/05/2020,13
17/05/2020,14
18/05/2020,20
19/05/2020,58
20/05/2020,28
21/05/2020,44
22/05/2020,34
23/05/2020,16
24/05/2020,17
25/05/2020,18
