Day,Microsoft: (United Kingdom)
01/03/2020,23
02/03/2020,39
03/03/2020,39
04/03/2020,39
05/03/2020,38
06/03/2020,39
07/03/2020,19
08/03/2020,22
09/03/2020,40
10/03/2020,43
11/03/2020,43
12/03/2020,45
13/03/2020,41
14/03/2020,31
15/03/2020,31
16/03/2020,67
17/03/2020,78
18/03/2020,86
19/03/2020,94
20/03/2020,84
21/03/2020,45
22/03/2020,46
23/03/2020,100
24/03/2020,100
25/03/2020,92
26/03/2020,86
27/03/2020,73
28/03/2020,41
29/03/2020,39
30/03/2020,79
31/03/2020,83
01/04/2020,80
02/04/2020,73
03/04/2020,68
04/04/2020,32
05/04/2020,31
06/04/2020,56
07/04/2020,57
08/04/2020,56
09/04/2020,54
10/04/2020,34
11/04/2020,30
12/04/2020,29
13/04/2020,37
14/04/2020,57
15/04/2020,60
16/04/2020,65
17/04/2020,59
18/04/2020,37
19/04/2020,37
20/04/2020,79
21/04/2020,78
22/04/2020,80
23/04/2020,77
24/04/2020,64
25/04/2020,37
26/04/2020,38
27/04/2020,73
28/04/2020,76
29/04/2020,74
30/04/2020,74
01/05/2020,66
02/05/2020,35
03/05/2020,39
04/05/2020,68
05/05/2020,69
06/05/2020,69
07/05/2020,64
08/05/2020,39
09/05/2020,30
10/05/2020,37
11/05/2020,70
12/05/2020,65
13/05/2020,70
14/05/2020,64
15/05/2020,61
16/05/2020,34
17/05/2020,36
18/05/2020,72
19/05/2020,69
20/05/2020,65
21/05/2020,68
22/05/2020,58
23/05/2020,32
24/05/2020,32
25/05/2020,36
