Day,Nike: (United Kingdom)
01/03/2020,61
02/03/2020,44
03/03/2020,46
04/03/2020,44
05/03/2020,46
06/03/2020,48
07/03/2020,56
08/03/2020,55
09/03/2020,53
10/03/2020,46
11/03/2020,43
12/03/2020,37
13/03/2020,40
14/03/2020,48
15/03/2020,51
16/03/2020,33
17/03/2020,32
18/03/2020,29
19/03/2020,28
20/03/2020,29
21/03/2020,41
22/03/2020,41
23/03/2020,27
24/03/2020,31
25/03/2020,34
26/03/2020,39
27/03/2020,51
28/03/2020,57
29/03/2020,58
30/03/2020,46
31/03/2020,49
01/04/2020,47
02/04/2020,49
03/04/2020,49
04/04/2020,53
05/04/2020,55
06/04/2020,49
07/04/2020,51
08/04/2020,51
09/04/2020,74
10/04/2020,69
11/04/2020,64
12/04/2020,65
13/04/2020,65
14/04/2020,59
15/04/2020,58
16/04/2020,58
17/04/2020,62
18/04/2020,60
19/04/2020,65
20/04/2020,60
21/04/2020,60
22/04/2020,61
23/04/2020,63
24/04/2020,65
25/04/2020,65
26/04/2020,71
27/04/2020,61
28/04/2020,68
29/04/2020,68
30/04/2020,70
01/05/2020,70
02/05/2020,73
03/05/2020,76
04/05/2020,68
05/05/2020,65
06/05/2020,67
07/05/2020,64
08/05/2020,78
09/05/2020,72
10/05/2020,70
11/05/2020,62
12/05/2020,64
13/05/2020,61
14/05/2020,65
15/05/2020,72
16/05/2020,73
17/05/2020,81
18/05/2020,69
19/05/2020,70
20/05/2020,70
21/05/2020,74
22/05/2020,75
23/05/2020,79
24/05/2020,83
25/05/2020,100
