Day,Uber: (United Kingdom)
01/03/2020,72
02/03/2020,53
03/03/2020,51
04/03/2020,49
05/03/2020,57
06/03/2020,72
07/03/2020,84
08/03/2020,69
09/03/2020,52
10/03/2020,51
11/03/2020,59
12/03/2020,54
13/03/2020,66
14/03/2020,72
15/03/2020,61
16/03/2020,52
17/03/2020,55
18/03/2020,58
19/03/2020,60
20/03/2020,70
21/03/2020,100
22/03/2020,86
23/03/2020,85
24/03/2020,56
25/03/2020,56
26/03/2020,51
27/03/2020,70
28/03/2020,75
29/03/2020,45
30/03/2020,63
31/03/2020,72
01/04/2020,63
02/04/2020,60
03/04/2020,77
04/04/2020,70
05/04/2020,49
06/04/2020,46
07/04/2020,49
08/04/2020,44
09/04/2020,48
10/04/2020,56
11/04/2020,53
12/04/2020,42
13/04/2020,40
14/04/2020,36
15/04/2020,38
16/04/2020,41
17/04/2020,56
18/04/2020,60
19/04/2020,39
20/04/2020,40
21/04/2020,39
22/04/2020,40
23/04/2020,41
24/04/2020,50
25/04/2020,52
26/04/2020,39
27/04/2020,38
28/04/2020,44
29/04/2020,48
30/04/2020,47
01/05/2020,68
02/05/2020,66
03/05/2020,53
04/05/2020,43
05/05/2020,44
06/05/2020,46
07/05/2020,51
08/05/2020,56
09/05/2020,60
10/05/2020,44
11/05/2020,46
12/05/2020,52
13/05/2020,74
14/05/2020,65
15/05/2020,78
16/05/2020,77
17/05/2020,61
18/05/2020,51
19/05/2020,50
20/05/2020,52
21/05/2020,47
22/05/2020,69
23/05/2020,71
24/05/2020,51
25/05/2020,59
