Day,BBC News: (United Kingdom)
01/03/2020,27
02/03/2020,35
03/03/2020,36
04/03/2020,39
05/03/2020,43
06/03/2020,38
07/03/2020,31
08/03/2020,33
09/03/2020,48
10/03/2020,48
11/03/2020,57
12/03/2020,100
13/03/2020,70
14/03/2020,65
15/03/2020,71
16/03/2020,100
17/03/2020,87
18/03/2020,96
19/03/2020,86
20/03/2020,78
21/03/2020,58
22/03/2020,64
23/03/2020,91
24/03/2020,62
25/03/2020,62
26/03/2020,59
27/03/2020,58
28/03/2020,52
29/03/2020,56
30/03/2020,51
31/03/2020,50
01/04/2020,49
02/04/2020,48
03/04/2020,46
04/04/2020,47
05/04/2020,60
06/04/2020,69
07/04/2020,71
08/04/2020,57
09/04/2020,53
10/04/2020,45
11/04/2020,44
12/04/2020,46
13/04/2020,45
14/04/2020,45
15/04/2020,44
16/04/2020,46
17/04/2020,37
18/04/2020,36
19/04/2020,39
20/04/2020,39
21/04/2020,40
22/04/2020,38
23/04/2020,36
24/04/2020,35
25/04/2020,36
26/04/2020,36
27/04/2020,39
28/04/2020,37
29/04/2020,38
30/04/2020,36
01/05/2020,33
02/05/2020,31
03/05/2020,33
04/05/2020,36
05/05/2020,35
06/05/2020,35
07/05/2020,36
08/05/2020,33
09/05/2020,32
10/05/2020,45
11/05/2020,42
12/05/2020,36
13/05/2020,32
14/05/2020,31
15/05/2020,30
16/05/2020,30
17/05/2020,30
18/05/2020,33
19/05/2020,32
20/05/2020,33
21/05/2020,32
22/05/2020,29
23/05/2020,28
24/05/2020,34
25/05/2020,42
