Day,Disney: (United Kingdom)
01/03/2020,13
02/03/2020,10
03/03/2020,11
04/03/2020,10
05/03/2020,9
06/03/2020,11
07/03/2020,13
08/03/2020,13
09/03/2020,10
10/03/2020,9
11/03/2020,8
12/03/2020,10
13/03/2020,17
14/03/2020,14
15/03/2020,13
16/03/2020,10
17/03/2020,11
18/03/2020,11
19/03/2020,12
20/03/2020,15
21/03/2020,21
22/03/2020,25
23/03/2020,31
24/03/2020,100
25/03/2020,53
26/03/2020,40
27/03/2020,35
28/03/2020,48
29/03/2020,42
30/03/2020,29
31/03/2020,27
01/04/2020,27
02/04/2020,25
03/04/2020,27
04/04/2020,31
05/04/2020,28
06/04/2020,21
07/04/2020,20
08/04/2020,20
09/04/2020,20
10/04/2020,23
11/04/2020,23
12/04/2020,26
13/04/2020,24
14/04/2020,19
15/04/2020,18
16/04/2020,18
17/04/2020,21
18/04/2020,26
19/04/2020,21
20/04/2020,16
21/04/2020,16
22/04/2020,16
23/04/2020,15
24/04/2020,17
25/04/2020,19
26/04/2020,19
27/04/2020,16
28/04/2020,17
29/04/2020,16
30/04/2020,16
01/05/2020,18
02/05/2020,21
03/05/2020,22
04/05/2020,18
05/05/2020,15
06/05/2020,15
07/05/2020,15
08/05/2020,17
09/05/2020,18
10/05/2020,20
11/05/2020,15
12/05/2020,15
13/05/2020,14
14/05/2020,14
15/05/2020,15
16/05/2020,18
17/05/2020,18
18/05/2020,14
19/05/2020,13
20/05/2020,12
21/05/2020,13
22/05/2020,14
23/05/2020,18
24/05/2020,17
25/05/2020,13
