Day,Economist: (United Kingdom)
01/03/2020,38
02/03/2020,67
03/03/2020,63
04/03/2020,52
05/03/2020,38
06/03/2020,67
07/03/2020,42
08/03/2020,36
09/03/2020,78
10/03/2020,56
11/03/2020,53
12/03/2020,65
13/03/2020,51
14/03/2020,44
15/03/2020,55
16/03/2020,64
17/03/2020,73
18/03/2020,53
19/03/2020,62
20/03/2020,66
21/03/2020,59
22/03/2020,46
23/03/2020,63
24/03/2020,55
25/03/2020,49
26/03/2020,62
27/03/2020,58
28/03/2020,55
29/03/2020,59
30/03/2020,65
31/03/2020,54
01/04/2020,74
02/04/2020,77
03/04/2020,62
04/04/2020,64
05/04/2020,73
06/04/2020,73
07/04/2020,64
08/04/2020,56
09/04/2020,67
10/04/2020,46
11/04/2020,68
12/04/2020,69
13/04/2020,75
14/04/2020,100
15/04/2020,81
16/04/2020,71
17/04/2020,86
18/04/2020,56
19/04/2020,60
20/04/2020,57
21/04/2020,67
22/04/2020,75
23/04/2020,71
24/04/2020,64
25/04/2020,68
26/04/2020,50
27/04/2020,72
28/04/2020,60
29/04/2020,55
30/04/2020,65
01/05/2020,75
02/05/2020,59
03/05/2020,75
04/05/2020,65
05/05/2020,62
06/05/2020,34
07/05/2020,70
08/05/2020,64
09/05/2020,69
10/05/2020,55
11/05/2020,72
12/05/2020,74
13/05/2020,57
14/05/2020,66
15/05/2020,69
16/05/2020,46
17/05/2020,50
18/05/2020,47
19/05/2020,61
20/05/2020,45
21/05/2020,53
22/05/2020,61
23/05/2020,59
24/05/2020,52
25/05/2020,52
