Day,HBO: (United Kingdom)
01/03/2020,30
02/03/2020,24
03/03/2020,22
04/03/2020,32
05/03/2020,42
06/03/2020,55
07/03/2020,37
08/03/2020,39
09/03/2020,33
10/03/2020,25
11/03/2020,39
12/03/2020,38
13/03/2020,30
14/03/2020,56
15/03/2020,47
16/03/2020,42
17/03/2020,36
18/03/2020,31
19/03/2020,35
20/03/2020,28
21/03/2020,56
22/03/2020,36
23/03/2020,28
24/03/2020,38
25/03/2020,33
26/03/2020,36
27/03/2020,29
28/03/2020,55
29/03/2020,52
30/03/2020,40
31/03/2020,41
01/04/2020,36
02/04/2020,44
03/04/2020,100
04/04/2020,85
05/04/2020,71
06/04/2020,46
07/04/2020,54
08/04/2020,34
09/04/2020,44
10/04/2020,45
11/04/2020,60
12/04/2020,62
13/04/2020,57
14/04/2020,48
15/04/2020,57
16/04/2020,44
17/04/2020,51
18/04/2020,49
19/04/2020,51
20/04/2020,44
21/04/2020,45
22/04/2020,42
23/04/2020,32
24/04/2020,46
25/04/2020,41
26/04/2020,57
27/04/2020,45
28/04/2020,52
29/04/2020,29
30/04/2020,33
01/05/2020,38
02/05/2020,44
03/05/2020,51
04/05/2020,33
05/05/2020,32
06/05/2020,37
07/05/2020,33
08/05/2020,44
09/05/2020,44
10/05/2020,44
11/05/2020,42
12/05/2020,36
13/05/2020,41
14/05/2020,35
15/05/2020,36
16/05/2020,39
17/05/2020,44
18/05/2020,48
19/05/2020,42
20/05/2020,53
21/05/2020,43
22/05/2020,37
23/05/2020,51
24/05/2020,57
25/05/2020,52
