Day,NowTV: (United Kingdom)
01/03/2020,67
02/03/2020,55
03/03/2020,62
04/03/2020,54
05/03/2020,59
06/03/2020,66
07/03/2020,56
08/03/2020,85
09/03/2020,56
10/03/2020,50
11/03/2020,35
12/03/2020,52
13/03/2020,56
14/03/2020,55
15/03/2020,64
16/03/2020,57
17/03/2020,64
18/03/2020,47
19/03/2020,85
20/03/2020,80
21/03/2020,100
22/03/2020,93
23/03/2020,65
24/03/2020,82
25/03/2020,75
26/03/2020,53
27/03/2020,82
28/03/2020,97
29/03/2020,81
30/03/2020,71
31/03/2020,58
01/04/2020,71
02/04/2020,70
03/04/2020,73
04/04/2020,70
05/04/2020,69
06/04/2020,76
07/04/2020,59
08/04/2020,62
09/04/2020,51
10/04/2020,56
11/04/2020,65
12/04/2020,62
13/04/2020,60
14/04/2020,58
15/04/2020,66
16/04/2020,53
17/04/2020,72
18/04/2020,72
19/04/2020,61
20/04/2020,61
21/04/2020,61
22/04/2020,67
23/04/2020,59
24/04/2020,56
25/04/2020,76
26/04/2020,60
27/04/2020,71
28/04/2020,73
29/04/2020,79
30/04/2020,63
01/05/2020,58
02/05/2020,73
03/05/2020,81
04/05/2020,72
05/05/2020,60
06/05/2020,68
07/05/2020,42
08/05/2020,61
09/05/2020,60
10/05/2020,65
11/05/2020,61
12/05/2020,52
13/05/2020,48
14/05/2020,51
15/05/2020,62
16/05/2020,61
17/05/2020,65
18/05/2020,55
19/05/2020,51
20/05/2020,42
21/05/2020,39
22/05/2020,48
23/05/2020,57
24/05/2020,52
25/05/2020,51
