Day,Telegraph: (United Kingdom)
01/03/2020,63
02/03/2020,75
03/03/2020,77
04/03/2020,77
05/03/2020,80
06/03/2020,80
07/03/2020,66
08/03/2020,72
09/03/2020,83
10/03/2020,86
11/03/2020,88
12/03/2020,94
13/03/2020,94
14/03/2020,90
15/03/2020,84
16/03/2020,100
17/03/2020,91
18/03/2020,95
19/03/2020,88
20/03/2020,85
21/03/2020,87
22/03/2020,81
23/03/2020,88
24/03/2020,83
25/03/2020,81
26/03/2020,87
27/03/2020,83
28/03/2020,86
29/03/2020,83
30/03/2020,78
31/03/2020,78
01/04/2020,81
02/04/2020,79
03/04/2020,77
04/04/2020,77
05/04/2020,79
06/04/2020,83
07/04/2020,83
08/04/2020,81
09/04/2020,80
10/04/2020,78
11/04/2020,79
12/04/2020,73
13/04/2020,83
14/04/2020,74
15/04/2020,75
16/04/2020,72
17/04/2020,69
18/04/2020,74
19/04/2020,71
20/04/2020,69
21/04/2020,74
22/04/2020,66
23/04/2020,63
24/04/2020,65
25/04/2020,68
26/04/2020,65
27/04/2020,71
28/04/2020,63
29/04/2020,69
30/04/2020,69
01/05/2020,60
02/05/2020,67
03/05/2020,71
04/05/2020,69
05/05/2020,69
06/05/2020,71
07/05/2020,74
08/05/2020,69
09/05/2020,69
10/05/2020,70
11/05/2020,68
12/05/2020,66
13/05/2020,71
14/05/2020,63
15/05/2020,65
16/05/2020,66
17/05/2020,66
18/05/2020,78
19/05/2020,72
20/05/2020,68
21/05/2020,69
22/05/2020,67
23/05/2020,70
24/05/2020,70
25/05/2020,89
