Day,TikTok: (United Kingdom)
01/03/2020,44
02/03/2020,32
03/03/2020,29
04/03/2020,30
05/03/2020,31
06/03/2020,32
07/03/2020,43
08/03/2020,42
09/03/2020,31
10/03/2020,31
11/03/2020,31
12/03/2020,33
13/03/2020,32
14/03/2020,43
15/03/2020,46
16/03/2020,36
17/03/2020,36
18/03/2020,39
19/03/2020,48
20/03/2020,55
21/03/2020,66
22/03/2020,69
23/03/2020,54
24/03/2020,61
25/03/2020,70
26/03/2020,70
27/03/2020,69
28/03/2020,89
29/03/2020,92
30/03/2020,76
31/03/2020,83
01/04/2020,86
02/04/2020,82
03/04/2020,86
04/04/2020,100
05/04/2020,98
06/04/2020,79
07/04/2020,78
08/04/2020,82
09/04/2020,80
10/04/2020,90
11/04/2020,92
12/04/2020,98
13/04/2020,96
14/04/2020,85
15/04/2020,84
16/04/2020,87
17/04/2020,87
18/04/2020,92
19/04/2020,100
20/04/2020,80
21/04/2020,83
22/04/2020,81
23/04/2020,85
24/04/2020,86
25/04/2020,97
26/04/2020,92
27/04/2020,80
28/04/2020,77
29/04/2020,84
30/04/2020,79
01/05/2020,85
02/05/2020,95
03/05/2020,84
04/05/2020,76
05/05/2020,78
06/05/2020,87
07/05/2020,74
08/05/2020,82
09/05/2020,75
10/05/2020,72
11/05/2020,67
12/05/2020,69
13/05/2020,72
14/05/2020,74
15/05/2020,79
16/05/2020,82
17/05/2020,86
18/05/2020,77
19/05/2020,77
20/05/2020,73
21/05/2020,75
22/05/2020,71
23/05/2020,77
24/05/2020,73
25/05/2020,73
