Day,online courses: (United Kingdom)
01/03/2020,21
02/03/2020,27
03/03/2020,24
04/03/2020,23
05/03/2020,26
06/03/2020,19
07/03/2020,24
08/03/2020,26
09/03/2020,26
10/03/2020,28
11/03/2020,21
12/03/2020,23
13/03/2020,21
14/03/2020,18
15/03/2020,26
16/03/2020,27
17/03/2020,28
18/03/2020,46
19/03/2020,49
20/03/2020,49
21/03/2020,56
22/03/2020,54
23/03/2020,65
24/03/2020,85
25/03/2020,82
26/03/2020,70
27/03/2020,68
28/03/2020,73
29/03/2020,92
30/03/2020,99
31/03/2020,100
01/04/2020,98
02/04/2020,89
03/04/2020,75
04/04/2020,65
05/04/2020,66
06/04/2020,76
07/04/2020,65
08/04/2020,73
09/04/2020,64
10/04/2020,57
11/04/2020,51
12/04/2020,49
13/04/2020,83
14/04/2020,74
15/04/2020,74
16/04/2020,75
17/04/2020,84
18/04/2020,64
19/04/2020,75
20/04/2020,86
21/04/2020,76
22/04/2020,80
23/04/2020,66
24/04/2020,61
25/04/2020,56
26/04/2020,62
27/04/2020,90
28/04/2020,98
29/04/2020,82
30/04/2020,80
01/05/2020,62
02/05/2020,47
03/05/2020,70
04/05/2020,75
05/05/2020,78
06/05/2020,66
07/05/2020,72
08/05/2020,48
09/05/2020,44
10/05/2020,61
11/05/2020,68
12/05/2020,74
13/05/2020,72
14/05/2020,71
15/05/2020,53
16/05/2020,55
17/05/2020,59
18/05/2020,60
19/05/2020,64
20/05/2020,63
21/05/2020,57
22/05/2020,63
23/05/2020,53
24/05/2020,54
25/05/2020,46
