Day,volunteering: (United Kingdom)
01/03/2020,2
02/03/2020,3
03/03/2020,3
04/03/2020,3
05/03/2020,3
06/03/2020,2
07/03/2020,1
08/03/2020,2
09/03/2020,3
10/03/2020,3
11/03/2020,2
12/03/2020,2
13/03/2020,2
14/03/2020,2
15/03/2020,2
16/03/2020,4
17/03/2020,3
18/03/2020,4
19/03/2020,4
20/03/2020,6
21/03/2020,4
22/03/2020,5
23/03/2020,5
24/03/2020,56
25/03/2020,100
26/03/2020,37
27/03/2020,18
28/03/2020,10
29/03/2020,10
30/03/2020,11
31/03/2020,7
01/04/2020,7
02/04/2020,7
03/04/2020,5
04/04/2020,4
05/04/2020,3
06/04/2020,4
07/04/2020,6
08/04/2020,5
09/04/2020,6
10/04/2020,4
11/04/2020,2
12/04/2020,2
13/04/2020,2
14/04/2020,3
15/04/2020,3
16/04/2020,3
17/04/2020,3
18/04/2020,2
19/04/2020,2
20/04/2020,2
21/04/2020,3
22/04/2020,2
23/04/2020,3
24/04/2020,2
25/04/2020,1
26/04/2020,2
27/04/2020,2
28/04/2020,2
29/04/2020,2
30/04/2020,2
01/05/2020,2
02/05/2020,1
03/05/2020,2
04/05/2020,2
05/05/2020,2
06/05/2020,2
07/05/2020,2
08/05/2020,1
09/05/2020,1
10/05/2020,1
11/05/2020,2
12/05/2020,2
13/05/2020,2
14/05/2020,2
15/05/2020,1
16/05/2020,1
17/05/2020,1
18/05/2020,2
19/05/2020,2
20/05/2020,2
21/05/2020,2
22/05/2020,2
23/05/2020,1
24/05/2020,1
25/05/2020,1
