Day,5G: (United Kingdom)
01/03/2020,7
02/03/2020,9
03/03/2020,7
04/03/2020,5
05/03/2020,7
06/03/2020,6
07/03/2020,6
08/03/2020,7
09/03/2020,9
10/03/2020,13
11/03/2020,13
12/03/2020,12
13/03/2020,13
14/03/2020,13
15/03/2020,14
16/03/2020,14
17/03/2020,17
18/03/2020,12
19/03/2020,13
20/03/2020,9
21/03/2020,10
22/03/2020,11
23/03/2020,11
24/03/2020,12
25/03/2020,14
26/03/2020,16
27/03/2020,18
28/03/2020,22
29/03/2020,28
30/03/2020,42
31/03/2020,57
01/04/2020,83
02/04/2020,96
03/04/2020,96
04/04/2020,100
05/04/2020,66
06/04/2020,47
07/04/2020,41
08/04/2020,31
09/04/2020,25
10/04/2020,21
11/04/2020,17
12/04/2020,18
13/04/2020,25
14/04/2020,26
15/04/2020,15
16/04/2020,15
17/04/2020,12
18/04/2020,12
19/04/2020,12
20/04/2020,16
21/04/2020,11
22/04/2020,10
23/04/2020,11
24/04/2020,9
25/04/2020,9
26/04/2020,10
27/04/2020,11
28/04/2020,9
29/04/2020,8
30/04/2020,9
01/05/2020,8
02/05/2020,10
03/05/2020,10
04/05/2020,10
05/05/2020,9
06/05/2020,7
07/05/2020,7
08/05/2020,7
09/05/2020,7
10/05/2020,7
11/05/2020,9
12/05/2020,7
13/05/2020,7
14/05/2020,8
15/05/2020,8
16/05/2020,9
17/05/2020,11
18/05/2020,7
19/05/2020,9
20/05/2020,6
21/05/2020,7
22/05/2020,7
23/05/2020,6
24/05/2020,8
25/05/2020,8
