Day,Automation: (United Kingdom)
01/03/2020,54
02/03/2020,87
03/03/2020,93
04/03/2020,100
05/03/2020,78
06/03/2020,77
07/03/2020,58
08/03/2020,48
09/03/2020,89
10/03/2020,85
11/03/2020,91
12/03/2020,58
13/03/2020,56
14/03/2020,52
15/03/2020,31
16/03/2020,47
17/03/2020,79
18/03/2020,67
19/03/2020,64
20/03/2020,40
21/03/2020,55
22/03/2020,66
23/03/2020,56
24/03/2020,67
25/03/2020,61
26/03/2020,56
27/03/2020,48
28/03/2020,44
29/03/2020,43
30/03/2020,84
31/03/2020,64
01/04/2020,63
02/04/2020,65
03/04/2020,54
04/04/2020,44
05/04/2020,50
06/04/2020,50
07/04/2020,59
08/04/2020,55
09/04/2020,69
10/04/2020,44
11/04/2020,39
12/04/2020,43
13/04/2020,34
14/04/2020,72
15/04/2020,74
16/04/2020,66
17/04/2020,60
18/04/2020,38
19/04/2020,41
20/04/2020,63
21/04/2020,69
22/04/2020,75
23/04/2020,70
24/04/2020,67
25/04/2020,68
26/04/2020,40
27/04/2020,58
28/04/2020,65
29/04/2020,58
30/04/2020,61
01/05/2020,56
02/05/2020,42
03/05/2020,30
04/05/2020,67
05/05/2020,76
06/05/2020,77
07/05/2020,91
08/05/2020,74
09/05/2020,62
10/05/2020,59
11/05/2020,70
12/05/2020,76
13/05/2020,59
14/05/2020,75
15/05/2020,82
16/05/2020,42
17/05/2020,57
18/05/2020,76
19/05/2020,56
20/05/2020,73
21/05/2020,79
22/05/2020,75
23/05/2020,35
24/05/2020,40
25/05/2020,48
