Day,Blockchain: (United Kingdom)
01/03/2020,38
02/03/2020,78
03/03/2020,71
04/03/2020,93
05/03/2020,62
06/03/2020,45
07/03/2020,43
08/03/2020,49
09/03/2020,100
10/03/2020,74
11/03/2020,53
12/03/2020,27
13/03/2020,69
14/03/2020,31
15/03/2020,45
16/03/2020,45
17/03/2020,63
18/03/2020,41
19/03/2020,28
20/03/2020,49
21/03/2020,27
22/03/2020,39
23/03/2020,63
24/03/2020,66
25/03/2020,51
26/03/2020,45
27/03/2020,48
28/03/2020,61
29/03/2020,59
30/03/2020,49
31/03/2020,49
01/04/2020,50
02/04/2020,36
03/04/2020,54
04/04/2020,77
05/04/2020,60
06/04/2020,52
07/04/2020,65
08/04/2020,72
09/04/2020,37
10/04/2020,69
11/04/2020,56
12/04/2020,44
13/04/2020,60
14/04/2020,71
15/04/2020,83
16/04/2020,75
17/04/2020,79
18/04/2020,64
19/04/2020,79
20/04/2020,84
21/04/2020,50
22/04/2020,64
23/04/2020,68
24/04/2020,95
25/04/2020,62
26/04/2020,62
27/04/2020,46
28/04/2020,76
29/04/2020,87
30/04/2020,81
01/05/2020,58
02/05/2020,36
03/05/2020,36
04/05/2020,84
05/05/2020,55
06/05/2020,89
07/05/2020,77
08/05/2020,64
09/05/2020,59
10/05/2020,68
11/05/2020,64
12/05/2020,78
13/05/2020,81
14/05/2020,49
15/05/2020,93
16/05/2020,91
17/05/2020,40
18/05/2020,43
19/05/2020,66
20/05/2020,58
21/05/2020,54
22/05/2020,74
23/05/2020,45
24/05/2020,41
25/05/2020,73
