Day,Internet of Things: (United Kingdom)
01/03/2020,37
02/03/2020,25
03/03/2020,74
04/03/2020,25
05/03/2020,41
06/03/2020,63
07/03/2020,16
08/03/2020,16
09/03/2020,81
10/03/2020,49
11/03/2020,29
12/03/2020,42
13/03/2020,76
14/03/2020,16
15/03/2020,47
16/03/2020,22
17/03/2020,29
18/03/2020,29
19/03/2020,22
20/03/2020,22
21/03/2020,48
22/03/2020,32
23/03/2020,37
24/03/2020,14
25/03/2020,14
26/03/2020,29
27/03/2020,53
28/03/2020,15
29/03/2020,31
30/03/2020,41
31/03/2020,32
01/04/2020,62
02/04/2020,14
03/04/2020,42
04/04/2020,66
05/04/2020,68
06/04/2020,33
07/04/2020,28
08/04/2020,24
09/04/2020,23
10/04/2020,100
11/04/2020,16
12/04/2020,30
13/04/2020,34
14/04/2020,33
15/04/2020,43
16/04/2020,23
17/04/2020,64
18/04/2020,15
19/04/2020,31
20/04/2020,27
21/04/2020,28
22/04/2020,28
23/04/2020,31
24/04/2020,42
25/04/2020,31
26/04/2020,46
27/04/2020,34
28/04/2020,31
29/04/2020,40
30/04/2020,29
01/05/2020,54
02/05/2020,25
03/05/2020,25
04/05/2020,20
05/05/2020,44
06/05/2020,69
07/05/2020,41
08/05/2020,30
09/05/2020,25
10/05/2020,24
11/05/2020,57
12/05/2020,61
13/05/2020,27
14/05/2020,41
15/05/2020,51
16/05/2020,15
17/05/2020,35
18/05/2020,32
19/05/2020,23
20/05/2020,28
21/05/2020,35
22/05/2020,76
23/05/2020,29
24/05/2020,46
25/05/2020,24
