Day,Machine Learning: (United Kingdom)
01/03/2020,56
02/03/2020,74
03/03/2020,87
04/03/2020,76
05/03/2020,94
06/03/2020,74
07/03/2020,57
08/03/2020,44
09/03/2020,92
10/03/2020,94
11/03/2020,80
12/03/2020,61
13/03/2020,80
14/03/2020,57
15/03/2020,44
16/03/2020,75
17/03/2020,79
18/03/2020,84
19/03/2020,41
20/03/2020,53
21/03/2020,47
22/03/2020,55
23/03/2020,53
24/03/2020,40
25/03/2020,70
26/03/2020,90
27/03/2020,51
28/03/2020,31
29/03/2020,63
30/03/2020,72
31/03/2020,60
01/04/2020,54
02/04/2020,58
03/04/2020,61
04/04/2020,60
05/04/2020,85
06/04/2020,92
07/04/2020,66
08/04/2020,71
09/04/2020,89
10/04/2020,48
11/04/2020,59
12/04/2020,49
13/04/2020,63
14/04/2020,75
15/04/2020,78
16/04/2020,79
17/04/2020,79
18/04/2020,67
19/04/2020,62
20/04/2020,93
21/04/2020,73
22/04/2020,72
23/04/2020,51
24/04/2020,62
25/04/2020,54
26/04/2020,54
27/04/2020,68
28/04/2020,72
29/04/2020,55
30/04/2020,87
01/05/2020,63
02/05/2020,46
03/05/2020,57
04/05/2020,100
05/05/2020,69
06/05/2020,75
07/05/2020,75
08/05/2020,87
09/05/2020,47
10/05/2020,73
11/05/2020,77
12/05/2020,74
13/05/2020,55
14/05/2020,96
15/05/2020,55
16/05/2020,51
17/05/2020,58
18/05/2020,50
19/05/2020,56
20/05/2020,92
21/05/2020,94
22/05/2020,57
23/05/2020,44
24/05/2020,81
25/05/2020,72
