Day,Natural Language Processing: (United Kingdom)
01/03/2020,45
02/03/2020,42
03/03/2020,85
04/03/2020,43
05/03/2020,0
06/03/2020,0
07/03/2020,69
08/03/2020,45
09/03/2020,41
10/03/2020,62
11/03/2020,84
12/03/2020,41
13/03/2020,43
14/03/2020,0
15/03/2020,45
16/03/2020,42
17/03/2020,41
18/03/2020,0
19/03/2020,42
20/03/2020,0
21/03/2020,45
22/03/2020,46
23/03/2020,35
24/03/2020,39
25/03/2020,41
26/03/2020,82
27/03/2020,76
28/03/2020,0
29/03/2020,44
30/03/2020,0
31/03/2020,0
01/04/2020,0
02/04/2020,39
03/04/2020,40
04/04/2020,43
05/04/2020,0
06/04/2020,38
07/04/2020,100
08/04/2020,40
09/04/2020,40
10/04/2020,43
11/04/2020,44
12/04/2020,0
13/04/2020,0
14/04/2020,40
15/04/2020,41
16/04/2020,40
17/04/2020,39
18/04/2020,42
19/04/2020,66
20/04/2020,0
21/04/2020,39
22/04/2020,60
23/04/2020,58
24/04/2020,0
25/04/2020,0
26/04/2020,43
27/04/2020,77
28/04/2020,38
29/04/2020,0
30/04/2020,35
01/05/2020,77
02/05/2020,42
03/05/2020,0
04/05/2020,76
05/05/2020,36
06/05/2020,0
07/05/2020,0
08/05/2020,63
09/05/2020,88
10/05/2020,0
11/05/2020,38
12/05/2020,0
13/05/2020,38
14/05/2020,39
15/05/2020,79
16/05/2020,0
17/05/2020,87
18/05/2020,39
19/05/2020,58
20/05/2020,40
21/05/2020,40
22/05/2020,38
23/05/2020,0
24/05/2020,43
25/05/2020,45
