Day,Virtual Reality: (United Kingdom)
01/03/2020,42
02/03/2020,45
03/03/2020,39
04/03/2020,42
05/03/2020,30
06/03/2020,34
07/03/2020,100
08/03/2020,55
09/03/2020,41
10/03/2020,42
11/03/2020,45
12/03/2020,31
13/03/2020,36
14/03/2020,21
15/03/2020,69
16/03/2020,29
17/03/2020,57
18/03/2020,47
19/03/2020,39
20/03/2020,35
21/03/2020,45
22/03/2020,43
23/03/2020,38
24/03/2020,21
25/03/2020,40
26/03/2020,44
27/03/2020,35
28/03/2020,69
29/03/2020,30
30/03/2020,30
31/03/2020,27
01/04/2020,51
02/04/2020,81
03/04/2020,31
04/04/2020,100
05/04/2020,27
06/04/2020,50
07/04/2020,56
08/04/2020,31
09/04/2020,18
10/04/2020,36
11/04/2020,44
12/04/2020,47
13/04/2020,23
14/04/2020,59
15/04/2020,32
16/04/2020,37
17/04/2020,54
18/04/2020,48
19/04/2020,44
20/04/2020,21
21/04/2020,42
22/04/2020,18
23/04/2020,59
24/04/2020,56
25/04/2020,33
26/04/2020,33
27/04/2020,33
28/04/2020,43
29/04/2020,35
30/04/2020,33
01/05/2020,27
02/05/2020,23
03/05/2020,43
04/05/2020,44
05/05/2020,42
06/05/2020,45
07/05/2020,24
08/05/2020,39
09/05/2020,30
10/05/2020,50
11/05/2020,26
12/05/2020,39
13/05/2020,47
14/05/2020,18
15/05/2020,45
16/05/2020,30
17/05/2020,67
18/05/2020,54
19/05/2020,21
20/05/2020,34
21/05/2020,37
22/05/2020,41
23/05/2020,41
24/05/2020,37
25/05/2020,24
