Day,Digital Divide: (United Kingdom)
01/03/2020,39
02/03/2020,37
03/03/2020,36
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,39
09/03/2020,53
10/03/2020,0
11/03/2020,0
12/03/2020,36
13/03/2020,38
14/03/2020,0
15/03/2020,0
16/03/2020,36
17/03/2020,36
18/03/2020,35
19/03/2020,36
20/03/2020,0
21/03/2020,0
22/03/2020,0
23/03/2020,0
24/03/2020,34
25/03/2020,69
26/03/2020,0
27/03/2020,0
28/03/2020,0
29/03/2020,0
30/03/2020,33
31/03/2020,0
01/04/2020,34
02/04/2020,34
03/04/2020,0
04/04/2020,0
05/04/2020,0
06/04/2020,0
07/04/2020,34
08/04/2020,0
09/04/2020,0
10/04/2020,0
11/04/2020,0
12/04/2020,0
13/04/2020,0
14/04/2020,0
15/04/2020,53
16/04/2020,35
17/04/2020,0
18/04/2020,36
19/04/2020,0
20/04/2020,66
21/04/2020,34
22/04/2020,0
23/04/2020,100
24/04/2020,35
25/04/2020,0
26/04/2020,0
27/04/2020,34
28/04/2020,98
29/04/2020,98
30/04/2020,0
01/05/2020,33
02/05/2020,0
03/05/2020,0
04/05/2020,0
05/05/2020,31
06/05/2020,0
07/05/2020,34
08/05/2020,37
09/05/2020,37
10/05/2020,0
11/05/2020,33
12/05/2020,0
13/05/2020,44
14/05/2020,67
15/05/2020,34
16/05/2020,0
17/05/2020,0
18/05/2020,0
19/05/2020,51
20/05/2020,35
21/05/2020,0
22/05/2020,34
23/05/2020,35
24/05/2020,0
25/05/2020,0
