Day,Business Cards: (United Kingdom)
01/03/2020,76
02/03/2020,86
03/03/2020,100
04/03/2020,71
05/03/2020,79
06/03/2020,63
07/03/2020,50
08/03/2020,72
09/03/2020,72
10/03/2020,74
11/03/2020,66
12/03/2020,56
13/03/2020,55
14/03/2020,44
15/03/2020,57
16/03/2020,71
17/03/2020,46
18/03/2020,39
19/03/2020,27
20/03/2020,37
21/03/2020,62
22/03/2020,49
23/03/2020,23
24/03/2020,21
25/03/2020,47
26/03/2020,32
27/03/2020,39
28/03/2020,44
29/03/2020,33
30/03/2020,52
31/03/2020,34
01/04/2020,24
02/04/2020,45
03/04/2020,31
04/04/2020,62
05/04/2020,57
06/04/2020,31
07/04/2020,30
08/04/2020,42
09/04/2020,39
10/04/2020,32
11/04/2020,30
12/04/2020,28
13/04/2020,27
14/04/2020,26
15/04/2020,34
16/04/2020,34
17/04/2020,26
18/04/2020,57
19/04/2020,41
20/04/2020,39
21/04/2020,24
22/04/2020,18
23/04/2020,41
24/04/2020,46
25/04/2020,67
26/04/2020,34
27/04/2020,36
28/04/2020,35
29/04/2020,35
30/04/2020,36
01/05/2020,40
02/05/2020,61
03/05/2020,48
04/05/2020,31
05/05/2020,50
06/05/2020,42
07/05/2020,26
08/05/2020,54
09/05/2020,63
10/05/2020,44
11/05/2020,59
12/05/2020,58
13/05/2020,58
14/05/2020,49
15/05/2020,45
16/05/2020,82
17/05/2020,56
18/05/2020,44
19/05/2020,52
20/05/2020,51
21/05/2020,57
22/05/2020,66
23/05/2020,70
24/05/2020,55
25/05/2020,53
