Day,Growth Hacking: (United Kingdom)
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,49
06/03/2020,50
07/03/2020,0
08/03/2020,50
09/03/2020,45
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,0
20/03/2020,0
21/03/2020,0
22/03/2020,0
23/03/2020,0
24/03/2020,44
25/03/2020,91
26/03/2020,46
27/03/2020,0
28/03/2020,0
29/03/2020,0
30/03/2020,0
31/03/2020,44
01/04/2020,0
02/04/2020,43
03/04/2020,0
04/04/2020,0
05/04/2020,100
06/04/2020,43
07/04/2020,45
08/04/2020,45
09/04/2020,44
10/04/2020,48
11/04/2020,0
12/04/2020,0
13/04/2020,0
14/04/2020,45
15/04/2020,0
16/04/2020,45
17/04/2020,0
18/04/2020,0
19/04/2020,0
20/04/2020,0
21/04/2020,88
22/04/2020,0
23/04/2020,0
24/04/2020,0
25/04/2020,0
26/04/2020,49
27/04/2020,0
28/04/2020,0
29/04/2020,43
30/04/2020,0
01/05/2020,0
02/05/2020,0
03/05/2020,0
04/05/2020,0
05/05/2020,0
06/05/2020,44
07/05/2020,0
08/05/2020,0
09/05/2020,0
10/05/2020,0
11/05/2020,0
12/05/2020,0
13/05/2020,64
14/05/2020,0
15/05/2020,0
16/05/2020,0
17/05/2020,0
18/05/2020,44
19/05/2020,0
20/05/2020,45
21/05/2020,44
22/05/2020,43
23/05/2020,46
24/05/2020,0
25/05/2020,0
