Day,Facebook: (United Kingdom)
01/03/2020,75
02/03/2020,72
03/03/2020,71
04/03/2020,71
05/03/2020,71
06/03/2020,73
07/03/2020,75
08/03/2020,75
09/03/2020,72
10/03/2020,71
11/03/2020,71
12/03/2020,68
13/03/2020,74
14/03/2020,81
15/03/2020,83
16/03/2020,80
17/03/2020,83
18/03/2020,85
19/03/2020,86
20/03/2020,90
21/03/2020,96
22/03/2020,100
23/03/2020,87
24/03/2020,88
25/03/2020,89
26/03/2020,91
27/03/2020,92
28/03/2020,96
29/03/2020,96
30/03/2020,86
31/03/2020,87
01/04/2020,85
02/04/2020,86
03/04/2020,87
04/04/2020,93
05/04/2020,99
06/04/2020,85
07/04/2020,86
08/04/2020,85
09/04/2020,87
10/04/2020,90
11/04/2020,92
12/04/2020,93
13/04/2020,90
14/04/2020,84
15/04/2020,83
16/04/2020,83
17/04/2020,84
18/04/2020,89
19/04/2020,89
20/04/2020,79
21/04/2020,80
22/04/2020,79
23/04/2020,77
24/04/2020,78
25/04/2020,84
26/04/2020,85
27/04/2020,77
28/04/2020,77
29/04/2020,79
30/04/2020,78
01/05/2020,79
02/05/2020,84
03/05/2020,82
04/05/2020,75
05/05/2020,76
06/05/2020,74
07/05/2020,76
08/05/2020,82
09/05/2020,82
10/05/2020,83
11/05/2020,77
12/05/2020,76
13/05/2020,74
14/05/2020,77
15/05/2020,75
16/05/2020,80
17/05/2020,89
18/05/2020,81
19/05/2020,76
20/05/2020,76
21/05/2020,76
22/05/2020,76
23/05/2020,80
24/05/2020,81
25/05/2020,82
