Day,IBM: (United Kingdom)
01/03/2020,40
02/03/2020,86
03/03/2020,85
04/03/2020,65
05/03/2020,79
06/03/2020,78
07/03/2020,25
08/03/2020,37
09/03/2020,100
10/03/2020,85
11/03/2020,90
12/03/2020,77
13/03/2020,56
14/03/2020,42
15/03/2020,45
16/03/2020,78
17/03/2020,81
18/03/2020,75
19/03/2020,70
20/03/2020,65
21/03/2020,31
22/03/2020,55
23/03/2020,50
24/03/2020,57
25/03/2020,59
26/03/2020,72
27/03/2020,58
28/03/2020,28
29/03/2020,37
30/03/2020,72
31/03/2020,63
01/04/2020,54
02/04/2020,66
03/04/2020,48
04/04/2020,24
05/04/2020,34
06/04/2020,76
07/04/2020,77
08/04/2020,66
09/04/2020,73
10/04/2020,48
11/04/2020,29
12/04/2020,33
13/04/2020,41
14/04/2020,67
15/04/2020,67
16/04/2020,76
17/04/2020,72
18/04/2020,40
19/04/2020,51
20/04/2020,77
21/04/2020,80
22/04/2020,62
23/04/2020,59
24/04/2020,57
25/04/2020,39
26/04/2020,33
27/04/2020,80
28/04/2020,64
29/04/2020,63
30/04/2020,71
01/05/2020,58
02/05/2020,36
03/05/2020,44
04/05/2020,63
05/05/2020,61
06/05/2020,81
07/05/2020,78
08/05/2020,38
09/05/2020,37
10/05/2020,34
11/05/2020,77
12/05/2020,80
13/05/2020,60
14/05/2020,59
15/05/2020,41
16/05/2020,36
17/05/2020,44
18/05/2020,88
19/05/2020,54
20/05/2020,64
21/05/2020,56
22/05/2020,60
23/05/2020,46
24/05/2020,34
25/05/2020,32
