Day,Slack: (United Kingdom)
01/03/2020,9
02/03/2020,34
03/03/2020,38
04/03/2020,33
05/03/2020,37
06/03/2020,25
07/03/2020,11
08/03/2020,12
09/03/2020,40
10/03/2020,38
11/03/2020,37
12/03/2020,42
13/03/2020,44
14/03/2020,12
15/03/2020,16
16/03/2020,74
17/03/2020,100
18/03/2020,94
19/03/2020,85
20/03/2020,72
21/03/2020,18
22/03/2020,26
23/03/2020,67
24/03/2020,66
25/03/2020,69
26/03/2020,55
27/03/2020,47
28/03/2020,16
29/03/2020,22
30/03/2020,57
31/03/2020,48
01/04/2020,55
02/04/2020,53
03/04/2020,46
04/04/2020,17
05/04/2020,13
06/04/2020,52
07/04/2020,36
08/04/2020,51
09/04/2020,39
10/04/2020,20
11/04/2020,16
12/04/2020,12
13/04/2020,19
14/04/2020,42
15/04/2020,47
16/04/2020,46
17/04/2020,34
18/04/2020,12
19/04/2020,13
20/04/2020,38
21/04/2020,40
22/04/2020,39
23/04/2020,41
24/04/2020,37
25/04/2020,15
26/04/2020,14
27/04/2020,39
28/04/2020,37
29/04/2020,39
30/04/2020,35
01/05/2020,35
02/05/2020,14
03/05/2020,14
04/05/2020,37
05/05/2020,35
06/05/2020,36
07/05/2020,33
08/05/2020,15
09/05/2020,14
10/05/2020,14
11/05/2020,34
12/05/2020,37
13/05/2020,38
14/05/2020,38
15/05/2020,38
16/05/2020,15
17/05/2020,16
18/05/2020,40
19/05/2020,40
20/05/2020,37
21/05/2020,44
22/05/2020,31
23/05/2020,12
24/05/2020,17
25/05/2020,16
