Day,Tesco: (United Kingdom)
01/03/2020,38
02/03/2020,34
03/03/2020,34
04/03/2020,34
05/03/2020,35
06/03/2020,35
07/03/2020,36
08/03/2020,41
09/03/2020,34
10/03/2020,35
11/03/2020,34
12/03/2020,38
13/03/2020,41
14/03/2020,49
15/03/2020,62
16/03/2020,56
17/03/2020,69
18/03/2020,84
19/03/2020,90
20/03/2020,87
21/03/2020,97
22/03/2020,89
23/03/2020,95
24/03/2020,100
25/03/2020,82
26/03/2020,75
27/03/2020,85
28/03/2020,82
29/03/2020,88
30/03/2020,82
31/03/2020,82
01/04/2020,83
02/04/2020,79
03/04/2020,79
04/04/2020,75
05/04/2020,72
06/04/2020,73
07/04/2020,76
08/04/2020,78
09/04/2020,83
10/04/2020,87
11/04/2020,78
12/04/2020,92
13/04/2020,88
14/04/2020,71
15/04/2020,66
16/04/2020,63
17/04/2020,67
18/04/2020,63
19/04/2020,61
20/04/2020,56
21/04/2020,57
22/04/2020,62
23/04/2020,60
24/04/2020,62
25/04/2020,64
26/04/2020,60
27/04/2020,56
28/04/2020,59
29/04/2020,60
30/04/2020,59
01/05/2020,54
02/05/2020,55
03/05/2020,57
04/05/2020,53
05/05/2020,55
06/05/2020,58
07/05/2020,59
08/05/2020,64
09/05/2020,57
10/05/2020,55
11/05/2020,53
12/05/2020,51
13/05/2020,51
14/05/2020,48
15/05/2020,49
16/05/2020,52
17/05/2020,52
18/05/2020,50
19/05/2020,49
20/05/2020,51
21/05/2020,52
22/05/2020,48
23/05/2020,50
24/05/2020,51
25/05/2020,60
