Day,Tesla: (United Kingdom)
01/03/2020,70
02/03/2020,76
03/03/2020,75
04/03/2020,84
05/03/2020,74
06/03/2020,73
07/03/2020,71
08/03/2020,63
09/03/2020,80
10/03/2020,82
11/03/2020,80
12/03/2020,84
13/03/2020,82
14/03/2020,64
15/03/2020,67
16/03/2020,68
17/03/2020,68
18/03/2020,70
19/03/2020,70
20/03/2020,57
21/03/2020,49
22/03/2020,52
23/03/2020,49
24/03/2020,49
25/03/2020,50
26/03/2020,50
27/03/2020,41
28/03/2020,40
29/03/2020,42
30/03/2020,43
31/03/2020,44
01/04/2020,51
02/04/2020,50
03/04/2020,48
04/04/2020,47
05/04/2020,42
06/04/2020,45
07/04/2020,45
08/04/2020,50
09/04/2020,43
10/04/2020,43
11/04/2020,41
12/04/2020,38
13/04/2020,49
14/04/2020,63
15/04/2020,63
16/04/2020,60
17/04/2020,51
18/04/2020,37
19/04/2020,51
20/04/2020,56
21/04/2020,58
22/04/2020,56
23/04/2020,51
24/04/2020,50
25/04/2020,46
26/04/2020,41
27/04/2020,49
28/04/2020,55
29/04/2020,64
30/04/2020,71
01/05/2020,100
02/05/2020,100
03/05/2020,68
04/05/2020,65
05/05/2020,70
06/05/2020,63
07/05/2020,66
08/05/2020,62
09/05/2020,62
10/05/2020,58
11/05/2020,62
12/05/2020,59
13/05/2020,63
14/05/2020,61
15/05/2020,57
16/05/2020,49
17/05/2020,44
18/05/2020,54
19/05/2020,50
20/05/2020,50
21/05/2020,47
22/05/2020,48
23/05/2020,54
24/05/2020,46
25/05/2020,54
