Day,Zoom: (United Kingdom)
01/03/2020,4
02/03/2020,5
03/03/2020,6
04/03/2020,5
05/03/2020,5
06/03/2020,5
07/03/2020,4
08/03/2020,4
09/03/2020,6
10/03/2020,6
11/03/2020,7
12/03/2020,8
13/03/2020,10
14/03/2020,6
15/03/2020,8
16/03/2020,20
17/03/2020,32
18/03/2020,40
19/03/2020,46
20/03/2020,51
21/03/2020,49
22/03/2020,54
23/03/2020,72
24/03/2020,82
25/03/2020,79
26/03/2020,80
27/03/2020,84
28/03/2020,79
29/03/2020,69
30/03/2020,79
31/03/2020,82
01/04/2020,92
02/04/2020,84
03/04/2020,100
04/04/2020,90
05/04/2020,67
06/04/2020,69
07/04/2020,69
08/04/2020,71
09/04/2020,75
10/04/2020,79
11/04/2020,80
12/04/2020,73
13/04/2020,55
14/04/2020,62
15/04/2020,70
16/04/2020,66
17/04/2020,86
18/04/2020,95
19/04/2020,71
20/04/2020,68
21/04/2020,74
22/04/2020,78
23/04/2020,80
24/04/2020,93
25/04/2020,91
26/04/2020,73
27/04/2020,72
28/04/2020,71
29/04/2020,76
30/04/2020,73
01/05/2020,94
02/05/2020,99
03/05/2020,72
04/05/2020,62
05/05/2020,65
06/05/2020,69
07/05/2020,72
08/05/2020,68
09/05/2020,76
10/05/2020,61
11/05/2020,57
12/05/2020,63
13/05/2020,67
14/05/2020,66
15/05/2020,77
16/05/2020,75
17/05/2020,80
18/05/2020,57
19/05/2020,57
20/05/2020,56
21/05/2020,58
22/05/2020,65
23/05/2020,65
24/05/2020,54
25/05/2020,34
