Day,Daily Mail: (United Kingdom)
01/03/2020,64
02/03/2020,68
03/03/2020,72
04/03/2020,71
05/03/2020,76
06/03/2020,73
07/03/2020,67
08/03/2020,68
09/03/2020,77
10/03/2020,79
11/03/2020,82
12/03/2020,98
13/03/2020,88
14/03/2020,87
15/03/2020,89
16/03/2020,100
17/03/2020,94
18/03/2020,91
19/03/2020,90
20/03/2020,87
21/03/2020,84
22/03/2020,86
23/03/2020,89
24/03/2020,84
25/03/2020,84
26/03/2020,83
27/03/2020,83
28/03/2020,86
29/03/2020,86
30/03/2020,81
31/03/2020,80
01/04/2020,78
02/04/2020,77
03/04/2020,75
04/04/2020,78
05/04/2020,86
06/04/2020,90
07/04/2020,93
08/04/2020,88
09/04/2020,81
10/04/2020,77
11/04/2020,81
12/04/2020,84
13/04/2020,80
14/04/2020,78
15/04/2020,79
16/04/2020,75
17/04/2020,70
18/04/2020,71
19/04/2020,77
20/04/2020,74
21/04/2020,75
22/04/2020,73
23/04/2020,71
24/04/2020,70
25/04/2020,77
26/04/2020,73
27/04/2020,74
28/04/2020,72
29/04/2020,70
30/04/2020,70
01/05/2020,69
02/05/2020,68
03/05/2020,73
04/05/2020,71
05/05/2020,70
06/05/2020,73
07/05/2020,71
08/05/2020,70
09/05/2020,70
10/05/2020,70
11/05/2020,70
12/05/2020,68
13/05/2020,68
14/05/2020,67
15/05/2020,70
16/05/2020,68
17/05/2020,68
18/05/2020,69
19/05/2020,67
20/05/2020,69
21/05/2020,67
22/05/2020,64
23/05/2020,66
24/05/2020,72
25/05/2020,85
