Day,FT: (United Kingdom)
01/03/2020,59
02/03/2020,72
03/03/2020,70
04/03/2020,70
05/03/2020,67
06/03/2020,65
07/03/2020,62
08/03/2020,60
09/03/2020,71
10/03/2020,66
11/03/2020,67
12/03/2020,64
13/03/2020,70
14/03/2020,62
15/03/2020,60
16/03/2020,62
17/03/2020,54
18/03/2020,58
19/03/2020,64
20/03/2020,63
21/03/2020,66
22/03/2020,63
23/03/2020,66
24/03/2020,69
25/03/2020,77
26/03/2020,86
27/03/2020,78
28/03/2020,80
29/03/2020,81
30/03/2020,71
31/03/2020,77
01/04/2020,71
02/04/2020,80
03/04/2020,78
04/04/2020,76
05/04/2020,86
06/04/2020,90
07/04/2020,96
08/04/2020,88
09/04/2020,90
10/04/2020,86
11/04/2020,93
12/04/2020,84
13/04/2020,96
14/04/2020,95
15/04/2020,96
16/04/2020,89
17/04/2020,97
18/04/2020,87
19/04/2020,94
20/04/2020,89
21/04/2020,89
22/04/2020,98
23/04/2020,92
24/04/2020,89
25/04/2020,91
26/04/2020,95
27/04/2020,91
28/04/2020,84
29/04/2020,89
30/04/2020,80
01/05/2020,85
02/05/2020,96
03/05/2020,91
04/05/2020,90
05/05/2020,89
06/05/2020,88
07/05/2020,92
08/05/2020,87
09/05/2020,100
10/05/2020,90
11/05/2020,87
12/05/2020,85
13/05/2020,91
14/05/2020,90
15/05/2020,95
16/05/2020,88
17/05/2020,96
18/05/2020,89
19/05/2020,91
20/05/2020,95
21/05/2020,97
22/05/2020,92
23/05/2020,87
24/05/2020,95
25/05/2020,91
