Day,Independent: (United Kingdom)
01/03/2020,68
02/03/2020,81
03/03/2020,76
04/03/2020,78
05/03/2020,81
06/03/2020,72
07/03/2020,61
08/03/2020,78
09/03/2020,86
10/03/2020,81
11/03/2020,76
12/03/2020,96
13/03/2020,93
14/03/2020,82
15/03/2020,98
16/03/2020,100
17/03/2020,99
18/03/2020,93
19/03/2020,89
20/03/2020,82
21/03/2020,77
22/03/2020,74
23/03/2020,89
24/03/2020,79
25/03/2020,74
26/03/2020,77
27/03/2020,73
28/03/2020,65
29/03/2020,72
30/03/2020,73
31/03/2020,74
01/04/2020,73
02/04/2020,72
03/04/2020,70
04/04/2020,72
05/04/2020,68
06/04/2020,79
07/04/2020,79
08/04/2020,70
09/04/2020,69
10/04/2020,69
11/04/2020,66
12/04/2020,78
13/04/2020,73
14/04/2020,73
15/04/2020,68
16/04/2020,68
17/04/2020,65
18/04/2020,58
19/04/2020,65
20/04/2020,67
21/04/2020,72
22/04/2020,61
23/04/2020,62
24/04/2020,57
25/04/2020,62
26/04/2020,65
27/04/2020,71
28/04/2020,66
29/04/2020,70
30/04/2020,65
01/05/2020,63
02/05/2020,53
03/05/2020,62
04/05/2020,69
05/05/2020,72
06/05/2020,68
07/05/2020,63
08/05/2020,59
09/05/2020,59
10/05/2020,63
11/05/2020,75
12/05/2020,70
13/05/2020,68
14/05/2020,63
15/05/2020,55
16/05/2020,58
17/05/2020,65
18/05/2020,72
19/05/2020,73
20/05/2020,68
21/05/2020,63
22/05/2020,74
23/05/2020,61
24/05/2020,70
25/05/2020,77
