Day,Netflix: (United Kingdom)
01/03/2020,58
02/03/2020,42
03/03/2020,39
04/03/2020,38
05/03/2020,39
06/03/2020,47
07/03/2020,54
08/03/2020,53
09/03/2020,39
10/03/2020,35
11/03/2020,34
12/03/2020,34
13/03/2020,48
14/03/2020,65
15/03/2020,67
16/03/2020,42
17/03/2020,53
18/03/2020,62
19/03/2020,65
20/03/2020,76
21/03/2020,95
22/03/2020,86
23/03/2020,57
24/03/2020,68
25/03/2020,67
26/03/2020,68
27/03/2020,75
28/03/2020,100
29/03/2020,95
30/03/2020,66
31/03/2020,68
01/04/2020,69
02/04/2020,68
03/04/2020,73
04/04/2020,86
05/04/2020,77
06/04/2020,60
07/04/2020,60
08/04/2020,60
09/04/2020,63
10/04/2020,72
11/04/2020,73
12/04/2020,80
13/04/2020,76
14/04/2020,59
15/04/2020,58
16/04/2020,58
17/04/2020,73
18/04/2020,85
19/04/2020,77
20/04/2020,59
21/04/2020,58
22/04/2020,58
23/04/2020,55
24/04/2020,61
25/04/2020,72
26/04/2020,73
27/04/2020,60
28/04/2020,63
29/04/2020,60
30/04/2020,57
01/05/2020,64
02/05/2020,79
03/05/2020,77
04/05/2020,55
05/05/2020,55
06/05/2020,50
07/05/2020,52
08/05/2020,58
09/05/2020,66
10/05/2020,72
11/05/2020,50
12/05/2020,52
13/05/2020,51
14/05/2020,48
15/05/2020,60
16/05/2020,71
17/05/2020,69
18/05/2020,51
19/05/2020,48
20/05/2020,45
21/05/2020,46
22/05/2020,56
23/05/2020,71
24/05/2020,70
25/05/2020,55
