Day,The Guardian: (United Kingdom)
01/03/2020,41
02/03/2020,52
03/03/2020,53
04/03/2020,52
05/03/2020,63
06/03/2020,56
07/03/2020,49
08/03/2020,47
09/03/2020,60
10/03/2020,69
11/03/2020,66
12/03/2020,89
13/03/2020,75
14/03/2020,71
15/03/2020,73
16/03/2020,100
17/03/2020,79
18/03/2020,85
19/03/2020,76
20/03/2020,77
21/03/2020,66
22/03/2020,65
23/03/2020,73
24/03/2020,67
25/03/2020,70
26/03/2020,70
27/03/2020,69
28/03/2020,69
29/03/2020,63
30/03/2020,62
31/03/2020,64
01/04/2020,64
02/04/2020,60
03/04/2020,58
04/04/2020,62
05/04/2020,61
06/04/2020,76
07/04/2020,73
08/04/2020,67
09/04/2020,66
10/04/2020,61
11/04/2020,67
12/04/2020,59
13/04/2020,64
14/04/2020,62
15/04/2020,55
16/04/2020,56
17/04/2020,56
18/04/2020,56
19/04/2020,52
20/04/2020,56
21/04/2020,57
22/04/2020,57
23/04/2020,53
24/04/2020,52
25/04/2020,51
26/04/2020,55
27/04/2020,54
28/04/2020,54
29/04/2020,50
30/04/2020,57
01/05/2020,48
02/05/2020,52
03/05/2020,50
04/05/2020,51
05/05/2020,51
06/05/2020,52
07/05/2020,51
08/05/2020,53
09/05/2020,51
10/05/2020,61
11/05/2020,57
12/05/2020,54
13/05/2020,51
14/05/2020,52
15/05/2020,47
16/05/2020,49
17/05/2020,49
18/05/2020,47
19/05/2020,46
20/05/2020,52
21/05/2020,50
22/05/2020,47
23/05/2020,50
24/05/2020,60
25/05/2020,73
