Day,Twitch: (United Kingdom)
01/03/2020,50
02/03/2020,38
03/03/2020,36
04/03/2020,38
05/03/2020,36
06/03/2020,43
07/03/2020,43
08/03/2020,47
09/03/2020,33
10/03/2020,40
11/03/2020,41
12/03/2020,39
13/03/2020,44
14/03/2020,53
15/03/2020,55
16/03/2020,37
17/03/2020,40
18/03/2020,42
19/03/2020,46
20/03/2020,53
21/03/2020,76
22/03/2020,77
23/03/2020,70
24/03/2020,74
25/03/2020,66
26/03/2020,65
27/03/2020,67
28/03/2020,91
29/03/2020,74
30/03/2020,67
31/03/2020,64
01/04/2020,67
02/04/2020,68
03/04/2020,77
04/04/2020,90
05/04/2020,80
06/04/2020,66
07/04/2020,76
08/04/2020,73
09/04/2020,75
10/04/2020,75
11/04/2020,87
12/04/2020,86
13/04/2020,80
14/04/2020,82
15/04/2020,84
16/04/2020,89
17/04/2020,90
18/04/2020,95
19/04/2020,94
20/04/2020,73
21/04/2020,78
22/04/2020,75
23/04/2020,82
24/04/2020,79
25/04/2020,87
26/04/2020,85
27/04/2020,100
28/04/2020,79
29/04/2020,90
30/04/2020,82
01/05/2020,95
02/05/2020,96
03/05/2020,87
04/05/2020,82
05/05/2020,87
06/05/2020,83
07/05/2020,88
08/05/2020,88
09/05/2020,91
10/05/2020,83
11/05/2020,76
12/05/2020,79
13/05/2020,77
14/05/2020,83
15/05/2020,89
16/05/2020,88
17/05/2020,82
18/05/2020,80
19/05/2020,78
20/05/2020,83
21/05/2020,98
22/05/2020,87
23/05/2020,87
24/05/2020,89
25/05/2020,81
