Day,Vimeo: (United Kingdom)
01/03/2020,35
02/03/2020,53
03/03/2020,58
04/03/2020,59
05/03/2020,52
06/03/2020,48
07/03/2020,37
08/03/2020,37
09/03/2020,60
10/03/2020,48
11/03/2020,47
12/03/2020,52
13/03/2020,44
14/03/2020,35
15/03/2020,45
16/03/2020,54
17/03/2020,56
18/03/2020,53
19/03/2020,56
20/03/2020,74
21/03/2020,48
22/03/2020,63
23/03/2020,62
24/03/2020,68
25/03/2020,61
26/03/2020,70
27/03/2020,74
28/03/2020,51
29/03/2020,73
30/03/2020,72
31/03/2020,89
01/04/2020,63
02/04/2020,81
03/04/2020,80
04/04/2020,62
05/04/2020,48
06/04/2020,76
07/04/2020,100
08/04/2020,91
09/04/2020,81
10/04/2020,63
11/04/2020,49
12/04/2020,62
13/04/2020,66
14/04/2020,78
15/04/2020,67
16/04/2020,66
17/04/2020,79
18/04/2020,60
19/04/2020,55
20/04/2020,75
21/04/2020,82
22/04/2020,79
23/04/2020,59
24/04/2020,65
25/04/2020,59
26/04/2020,68
27/04/2020,69
28/04/2020,74
29/04/2020,63
30/04/2020,70
01/05/2020,77
02/05/2020,55
03/05/2020,68
04/05/2020,78
05/05/2020,70
06/05/2020,81
07/05/2020,67
08/05/2020,48
09/05/2020,41
10/05/2020,59
11/05/2020,72
12/05/2020,74
13/05/2020,72
14/05/2020,66
15/05/2020,70
16/05/2020,56
17/05/2020,57
18/05/2020,74
19/05/2020,56
20/05/2020,65
21/05/2020,65
22/05/2020,70
23/05/2020,56
24/05/2020,47
25/05/2020,44
