Day,ks2 maths: (United Kingdom)
01/03/2020,18
02/03/2020,38
03/03/2020,28
04/03/2020,41
05/03/2020,33
06/03/2020,34
07/03/2020,20
08/03/2020,19
09/03/2020,38
10/03/2020,41
11/03/2020,47
12/03/2020,39
13/03/2020,31
14/03/2020,15
15/03/2020,22
16/03/2020,64
17/03/2020,54
18/03/2020,73
19/03/2020,68
20/03/2020,56
21/03/2020,24
22/03/2020,47
23/03/2020,91
24/03/2020,99
25/03/2020,100
26/03/2020,66
27/03/2020,53
28/03/2020,14
29/03/2020,30
30/03/2020,77
31/03/2020,67
01/04/2020,62
02/04/2020,55
03/04/2020,37
04/04/2020,6
05/04/2020,13
06/04/2020,23
07/04/2020,21
08/04/2020,20
09/04/2020,19
10/04/2020,14
11/04/2020,7
12/04/2020,9
13/04/2020,7
14/04/2020,33
15/04/2020,31
16/04/2020,21
17/04/2020,20
18/04/2020,23
19/04/2020,28
20/04/2020,58
21/04/2020,64
22/04/2020,38
23/04/2020,60
24/04/2020,37
25/04/2020,9
26/04/2020,19
27/04/2020,43
28/04/2020,44
29/04/2020,38
30/04/2020,55
01/05/2020,42
02/05/2020,15
03/05/2020,20
04/05/2020,43
05/05/2020,47
06/05/2020,37
07/05/2020,39
08/05/2020,17
09/05/2020,9
10/05/2020,25
11/05/2020,54
12/05/2020,40
13/05/2020,51
14/05/2020,35
15/05/2020,34
16/05/2020,9
17/05/2020,27
18/05/2020,40
19/05/2020,43
20/05/2020,27
21/05/2020,31
22/05/2020,35
23/05/2020,6
24/05/2020,9
25/05/2020,13
