Day,baking: (United Kingdom)
01/03/2020,27
02/03/2020,21
03/03/2020,20
04/03/2020,21
05/03/2020,20
06/03/2020,20
07/03/2020,26
08/03/2020,29
09/03/2020,18
10/03/2020,27
11/03/2020,22
12/03/2020,20
13/03/2020,20
14/03/2020,30
15/03/2020,33
16/03/2020,23
17/03/2020,23
18/03/2020,26
19/03/2020,27
20/03/2020,31
21/03/2020,48
22/03/2020,51
23/03/2020,35
24/03/2020,43
25/03/2020,50
26/03/2020,50
27/03/2020,54
28/03/2020,89
29/03/2020,90
30/03/2020,63
31/03/2020,70
01/04/2020,70
02/04/2020,79
03/04/2020,70
04/04/2020,90
05/04/2020,91
06/04/2020,75
07/04/2020,78
08/04/2020,73
09/04/2020,78
10/04/2020,87
11/04/2020,89
12/04/2020,88
13/04/2020,79
14/04/2020,69
15/04/2020,69
16/04/2020,69
17/04/2020,77
18/04/2020,100
19/04/2020,87
20/04/2020,65
21/04/2020,70
22/04/2020,70
23/04/2020,63
24/04/2020,64
25/04/2020,79
26/04/2020,85
27/04/2020,69
28/04/2020,82
29/04/2020,77
30/04/2020,75
01/05/2020,75
02/05/2020,95
03/05/2020,100
04/05/2020,67
05/05/2020,72
06/05/2020,67
07/05/2020,66
08/05/2020,83
09/05/2020,69
10/05/2020,89
11/05/2020,63
12/05/2020,67
13/05/2020,63
14/05/2020,61
15/05/2020,68
16/05/2020,81
17/05/2020,85
18/05/2020,58
19/05/2020,57
20/05/2020,55
21/05/2020,50
22/05/2020,60
23/05/2020,74
24/05/2020,66
25/05/2020,54
