Day,drawing: (United Kingdom)
01/03/2020,51
02/03/2020,42
03/03/2020,51
04/03/2020,46
05/03/2020,49
06/03/2020,50
07/03/2020,44
08/03/2020,54
09/03/2020,45
10/03/2020,47
11/03/2020,48
12/03/2020,47
13/03/2020,48
14/03/2020,49
15/03/2020,49
16/03/2020,46
17/03/2020,49
18/03/2020,54
19/03/2020,63
20/03/2020,64
21/03/2020,74
22/03/2020,64
23/03/2020,71
24/03/2020,83
25/03/2020,85
26/03/2020,84
27/03/2020,77
28/03/2020,71
29/03/2020,76
30/03/2020,86
31/03/2020,83
01/04/2020,94
02/04/2020,81
03/04/2020,81
04/04/2020,67
05/04/2020,67
06/04/2020,77
07/04/2020,70
08/04/2020,70
09/04/2020,69
10/04/2020,68
11/04/2020,69
12/04/2020,66
13/04/2020,77
14/04/2020,70
15/04/2020,68
16/04/2020,68
17/04/2020,70
18/04/2020,71
19/04/2020,61
20/04/2020,79
21/04/2020,84
22/04/2020,77
23/04/2020,79
24/04/2020,73
25/04/2020,60
26/04/2020,61
27/04/2020,83
28/04/2020,87
29/04/2020,83
30/04/2020,82
01/05/2020,78
02/05/2020,62
03/05/2020,64
04/05/2020,80
05/05/2020,77
06/05/2020,72
07/05/2020,72
08/05/2020,61
09/05/2020,55
10/05/2020,62
11/05/2020,77
12/05/2020,100
13/05/2020,75
14/05/2020,70
15/05/2020,70
16/05/2020,53
17/05/2020,58
18/05/2020,73
19/05/2020,72
20/05/2020,69
21/05/2020,68
22/05/2020,67
23/05/2020,57
24/05/2020,55
25/05/2020,52
