Day,emotional intelligence: (United Kingdom)
01/03/2020,37
02/03/2020,90
03/03/2020,69
04/03/2020,56
05/03/2020,28
06/03/2020,51
07/03/2020,23
08/03/2020,22
09/03/2020,47
10/03/2020,48
11/03/2020,41
12/03/2020,80
13/03/2020,56
14/03/2020,0
15/03/2020,29
16/03/2020,48
17/03/2020,27
18/03/2020,33
19/03/2020,48
20/03/2020,20
21/03/2020,44
22/03/2020,30
23/03/2020,41
24/03/2020,70
25/03/2020,66
26/03/2020,40
27/03/2020,44
28/03/2020,21
29/03/2020,43
30/03/2020,83
31/03/2020,25
01/04/2020,25
02/04/2020,32
03/04/2020,26
04/04/2020,42
05/04/2020,51
06/04/2020,44
07/04/2020,33
08/04/2020,46
09/04/2020,20
10/04/2020,35
11/04/2020,43
12/04/2020,14
13/04/2020,20
14/04/2020,73
15/04/2020,40
16/04/2020,33
17/04/2020,58
18/04/2020,20
19/04/2020,36
20/04/2020,50
21/04/2020,51
22/04/2020,33
23/04/2020,76
24/04/2020,46
25/04/2020,57
26/04/2020,42
27/04/2020,69
28/04/2020,56
29/04/2020,50
30/04/2020,57
01/05/2020,56
02/05/2020,28
03/05/2020,70
04/05/2020,43
05/05/2020,100
06/05/2020,95
07/05/2020,45
08/05/2020,27
09/05/2020,64
10/05/2020,53
11/05/2020,49
12/05/2020,63
13/05/2020,38
14/05/2020,70
15/05/2020,51
16/05/2020,49
17/05/2020,35
18/05/2020,63
19/05/2020,70
20/05/2020,99
21/05/2020,52
22/05/2020,25
23/05/2020,40
24/05/2020,43
25/05/2020,59
