Day,how to code: (United Kingdom)
01/03/2020,67
02/03/2020,58
03/03/2020,69
04/03/2020,68
05/03/2020,67
06/03/2020,54
07/03/2020,62
08/03/2020,67
09/03/2020,67
10/03/2020,55
11/03/2020,62
12/03/2020,62
13/03/2020,66
14/03/2020,56
15/03/2020,55
16/03/2020,53
17/03/2020,66
18/03/2020,49
19/03/2020,60
20/03/2020,61
21/03/2020,73
22/03/2020,60
23/03/2020,66
24/03/2020,71
25/03/2020,64
26/03/2020,77
27/03/2020,73
28/03/2020,71
29/03/2020,70
30/03/2020,81
31/03/2020,80
01/04/2020,70
02/04/2020,82
03/04/2020,85
04/04/2020,81
05/04/2020,77
06/04/2020,75
07/04/2020,77
08/04/2020,75
09/04/2020,76
10/04/2020,70
11/04/2020,77
12/04/2020,78
13/04/2020,72
14/04/2020,82
15/04/2020,78
16/04/2020,84
17/04/2020,81
18/04/2020,84
19/04/2020,71
20/04/2020,81
21/04/2020,89
22/04/2020,82
23/04/2020,84
24/04/2020,71
25/04/2020,75
26/04/2020,73
27/04/2020,93
28/04/2020,95
29/04/2020,82
30/04/2020,82
01/05/2020,83
02/05/2020,82
03/05/2020,84
04/05/2020,100
05/05/2020,89
06/05/2020,86
07/05/2020,83
08/05/2020,72
09/05/2020,69
10/05/2020,79
11/05/2020,79
12/05/2020,89
13/05/2020,77
14/05/2020,83
15/05/2020,76
16/05/2020,63
17/05/2020,78
18/05/2020,88
19/05/2020,84
20/05/2020,85
21/05/2020,89
22/05/2020,82
23/05/2020,81
24/05/2020,74
25/05/2020,67
