Day,internships: (United Kingdom)
01/03/2020,89
02/03/2020,83
03/03/2020,87
04/03/2020,68
05/03/2020,78
06/03/2020,82
07/03/2020,45
08/03/2020,74
09/03/2020,100
10/03/2020,52
11/03/2020,57
12/03/2020,54
13/03/2020,59
14/03/2020,26
15/03/2020,36
16/03/2020,35
17/03/2020,28
18/03/2020,21
19/03/2020,29
20/03/2020,33
21/03/2020,34
22/03/2020,28
23/03/2020,23
24/03/2020,27
25/03/2020,32
26/03/2020,36
27/03/2020,24
28/03/2020,26
29/03/2020,30
30/03/2020,23
31/03/2020,33
01/04/2020,25
02/04/2020,28
03/04/2020,22
04/04/2020,36
05/04/2020,23
06/04/2020,35
07/04/2020,32
08/04/2020,37
09/04/2020,42
10/04/2020,41
11/04/2020,32
12/04/2020,23
13/04/2020,40
14/04/2020,29
15/04/2020,25
16/04/2020,35
17/04/2020,25
18/04/2020,28
19/04/2020,28
20/04/2020,52
21/04/2020,44
22/04/2020,32
23/04/2020,42
24/04/2020,45
25/04/2020,31
26/04/2020,24
27/04/2020,28
28/04/2020,47
29/04/2020,29
30/04/2020,38
01/05/2020,29
02/05/2020,37
03/05/2020,15
04/05/2020,41
05/05/2020,42
06/05/2020,50
07/05/2020,49
08/05/2020,34
09/05/2020,33
10/05/2020,31
11/05/2020,47
12/05/2020,42
13/05/2020,47
14/05/2020,28
15/05/2020,31
16/05/2020,43
17/05/2020,43
18/05/2020,39
19/05/2020,50
20/05/2020,28
21/05/2020,50
22/05/2020,35
23/05/2020,28
24/05/2020,38
25/05/2020,32
