Day,learn a language: (United Kingdom)
01/03/2020,24
02/03/2020,52
03/03/2020,22
04/03/2020,25
05/03/2020,40
06/03/2020,31
07/03/2020,16
08/03/2020,37
09/03/2020,38
10/03/2020,44
11/03/2020,59
12/03/2020,22
13/03/2020,30
14/03/2020,32
15/03/2020,63
16/03/2020,24
17/03/2020,19
18/03/2020,19
19/03/2020,49
20/03/2020,34
21/03/2020,42
22/03/2020,56
23/03/2020,50
24/03/2020,82
25/03/2020,52
26/03/2020,81
27/03/2020,85
28/03/2020,61
29/03/2020,91
30/03/2020,91
31/03/2020,82
01/04/2020,59
02/04/2020,100
03/04/2020,92
04/04/2020,71
05/04/2020,72
06/04/2020,54
07/04/2020,66
08/04/2020,42
09/04/2020,23
10/04/2020,37
11/04/2020,36
12/04/2020,46
13/04/2020,83
14/04/2020,85
15/04/2020,63
16/04/2020,56
17/04/2020,46
18/04/2020,68
19/04/2020,62
20/04/2020,94
21/04/2020,60
22/04/2020,70
23/04/2020,45
24/04/2020,66
25/04/2020,56
26/04/2020,69
27/04/2020,63
28/04/2020,53
29/04/2020,45
30/04/2020,87
01/05/2020,58
02/05/2020,45
03/05/2020,50
04/05/2020,54
05/05/2020,38
06/05/2020,50
07/05/2020,28
08/05/2020,25
09/05/2020,38
10/05/2020,66
11/05/2020,40
12/05/2020,59
13/05/2020,45
14/05/2020,14
15/05/2020,32
16/05/2020,35
17/05/2020,35
18/05/2020,50
19/05/2020,37
20/05/2020,36
21/05/2020,37
22/05/2020,40
23/05/2020,43
24/05/2020,30
25/05/2020,63
