Day,supermarket jobs: (United Kingdom)
01/03/2020,4
02/03/2020,3
03/03/2020,5
04/03/2020,2
05/03/2020,2
06/03/2020,1
07/03/2020,1
08/03/2020,3
09/03/2020,2
10/03/2020,4
11/03/2020,2
12/03/2020,1
13/03/2020,4
14/03/2020,1
15/03/2020,3
16/03/2020,2
17/03/2020,11
18/03/2020,28
19/03/2020,47
20/03/2020,75
21/03/2020,100
22/03/2020,68
23/03/2020,47
24/03/2020,55
25/03/2020,35
26/03/2020,29
27/03/2020,24
28/03/2020,22
29/03/2020,19
30/03/2020,27
31/03/2020,23
01/04/2020,19
02/04/2020,14
03/04/2020,16
04/04/2020,11
05/04/2020,9
06/04/2020,12
07/04/2020,12
08/04/2020,11
09/04/2020,6
10/04/2020,13
11/04/2020,10
12/04/2020,9
13/04/2020,7
14/04/2020,6
15/04/2020,11
16/04/2020,8
17/04/2020,8
18/04/2020,8
19/04/2020,8
20/04/2020,7
21/04/2020,6
22/04/2020,10
23/04/2020,10
24/04/2020,8
25/04/2020,6
26/04/2020,7
27/04/2020,10
28/04/2020,9
29/04/2020,6
30/04/2020,8
01/05/2020,8
02/05/2020,5
03/05/2020,6
04/05/2020,7
05/05/2020,7
06/05/2020,8
07/05/2020,8
08/05/2020,3
09/05/2020,6
10/05/2020,6
11/05/2020,10
12/05/2020,8
13/05/2020,8
14/05/2020,9
15/05/2020,7
16/05/2020,4
17/05/2020,5
18/05/2020,8
19/05/2020,7
20/05/2020,8
21/05/2020,8
22/05/2020,7
23/05/2020,8
24/05/2020,6
25/05/2020,4
