Day,working from home: (United Kingdom)
01/03/2020,4
02/03/2020,7
03/03/2020,9
04/03/2020,10
05/03/2020,6
06/03/2020,10
07/03/2020,5
08/03/2020,5
09/03/2020,15
10/03/2020,16
11/03/2020,21
12/03/2020,30
13/03/2020,27
14/03/2020,12
15/03/2020,24
16/03/2020,79
17/03/2020,97
18/03/2020,100
19/03/2020,92
20/03/2020,65
21/03/2020,27
22/03/2020,34
23/03/2020,55
24/03/2020,56
25/03/2020,61
26/03/2020,46
27/03/2020,39
28/03/2020,15
29/03/2020,16
30/03/2020,36
31/03/2020,40
01/04/2020,44
02/04/2020,39
03/04/2020,41
04/04/2020,20
05/04/2020,14
06/04/2020,37
07/04/2020,38
08/04/2020,37
09/04/2020,41
10/04/2020,22
11/04/2020,12
12/04/2020,13
13/04/2020,22
14/04/2020,29
15/04/2020,34
16/04/2020,31
17/04/2020,25
18/04/2020,18
19/04/2020,13
20/04/2020,32
21/04/2020,27
22/04/2020,26
23/04/2020,31
24/04/2020,24
25/04/2020,12
26/04/2020,14
27/04/2020,27
28/04/2020,32
29/04/2020,30
30/04/2020,27
01/05/2020,23
02/05/2020,24
03/05/2020,14
04/05/2020,26
05/05/2020,25
06/05/2020,28
07/05/2020,20
08/05/2020,19
09/05/2020,17
10/05/2020,23
11/05/2020,34
12/05/2020,47
13/05/2020,46
14/05/2020,45
15/05/2020,43
16/05/2020,29
17/05/2020,26
18/05/2020,37
19/05/2020,45
20/05/2020,43
21/05/2020,44
22/05/2020,35
23/05/2020,18
24/05/2020,24
25/05/2020,25
