Day,Robotics: (United Kingdom)
01/03/2020,45
02/03/2020,100
03/03/2020,79
04/03/2020,64
05/03/2020,93
06/03/2020,45
07/03/2020,46
08/03/2020,42
09/03/2020,41
10/03/2020,54
11/03/2020,54
12/03/2020,70
13/03/2020,43
14/03/2020,40
15/03/2020,26
16/03/2020,63
17/03/2020,47
18/03/2020,47
19/03/2020,39
20/03/2020,69
21/03/2020,13
22/03/2020,36
23/03/2020,49
24/03/2020,45
25/03/2020,37
26/03/2020,38
27/03/2020,44
28/03/2020,23
29/03/2020,41
30/03/2020,33
31/03/2020,45
01/04/2020,34
02/04/2020,47
03/04/2020,46
04/04/2020,19
05/04/2020,58
06/04/2020,41
07/04/2020,66
08/04/2020,29
09/04/2020,43
10/04/2020,40
11/04/2020,38
12/04/2020,37
13/04/2020,45
14/04/2020,58
15/04/2020,41
16/04/2020,40
17/04/2020,37
18/04/2020,33
19/04/2020,48
20/04/2020,41
21/04/2020,42
22/04/2020,57
23/04/2020,52
24/04/2020,43
25/04/2020,50
26/04/2020,44
27/04/2020,56
28/04/2020,41
29/04/2020,41
30/04/2020,53
01/05/2020,58
02/05/2020,30
03/05/2020,37
04/05/2020,49
05/05/2020,36
06/05/2020,45
07/05/2020,31
08/05/2020,52
09/05/2020,34
10/05/2020,58
11/05/2020,51
12/05/2020,36
13/05/2020,36
14/05/2020,75
15/05/2020,40
16/05/2020,49
17/05/2020,50
18/05/2020,42
19/05/2020,39
20/05/2020,38
21/05/2020,40
22/05/2020,47
23/05/2020,29
24/05/2020,28
25/05/2020,55
