Day,Web 2.0: (United Kingdom)
01/03/2020,0
02/03/2020,35
03/03/2020,35
04/03/2020,35
05/03/2020,36
06/03/2020,36
07/03/2020,0
08/03/2020,37
09/03/2020,34
10/03/2020,51
11/03/2020,0
12/03/2020,33
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,34
17/03/2020,34
18/03/2020,34
19/03/2020,0
20/03/2020,0
21/03/2020,37
22/03/2020,0
23/03/2020,0
24/03/2020,48
25/03/2020,33
26/03/2020,33
27/03/2020,32
28/03/2020,36
29/03/2020,0
30/03/2020,0
31/03/2020,32
01/04/2020,48
02/04/2020,32
03/04/2020,33
04/04/2020,53
05/04/2020,36
06/04/2020,31
07/04/2020,33
08/04/2020,33
09/04/2020,33
10/04/2020,35
11/04/2020,0
12/04/2020,0
13/04/2020,0
14/04/2020,33
15/04/2020,34
16/04/2020,33
17/04/2020,32
18/04/2020,34
19/04/2020,36
20/04/2020,31
21/04/2020,32
22/04/2020,33
23/04/2020,31
24/04/2020,33
25/04/2020,0
26/04/2020,36
27/04/2020,0
28/04/2020,0
29/04/2020,31
30/04/2020,58
01/05/2020,63
02/05/2020,35
03/05/2020,0
04/05/2020,31
05/05/2020,0
06/05/2020,81
07/05/2020,32
08/05/2020,0
09/05/2020,36
10/05/2020,100
11/05/2020,0
12/05/2020,0
13/05/2020,0
14/05/2020,0
15/05/2020,32
16/05/2020,0
17/05/2020,36
18/05/2020,32
19/05/2020,0
20/05/2020,33
21/05/2020,33
22/05/2020,0
23/05/2020,50
24/05/2020,36
25/05/2020,0
