Day,Cloud Computing: (United Kingdom)
01/03/2020,44
02/03/2020,78
03/03/2020,73
04/03/2020,47
05/03/2020,64
06/03/2020,71
07/03/2020,46
08/03/2020,78
09/03/2020,45
10/03/2020,41
11/03/2020,67
12/03/2020,60
13/03/2020,53
14/03/2020,40
15/03/2020,22
16/03/2020,41
17/03/2020,53
18/03/2020,53
19/03/2020,41
20/03/2020,56
21/03/2020,17
22/03/2020,68
23/03/2020,35
24/03/2020,53
25/03/2020,30
26/03/2020,35
27/03/2020,51
28/03/2020,48
29/03/2020,65
30/03/2020,24
31/03/2020,34
01/04/2020,29
02/04/2020,52
03/04/2020,25
04/04/2020,48
05/04/2020,22
06/04/2020,33
07/04/2020,74
08/04/2020,35
09/04/2020,69
10/04/2020,100
11/04/2020,44
12/04/2020,48
13/04/2020,67
14/04/2020,55
15/04/2020,61
16/04/2020,35
17/04/2020,77
18/04/2020,36
19/04/2020,33
20/04/2020,52
21/04/2020,53
22/04/2020,64
23/04/2020,76
24/04/2020,64
25/04/2020,32
26/04/2020,59
27/04/2020,52
28/04/2020,51
29/04/2020,89
30/04/2020,59
01/05/2020,38
02/05/2020,21
03/05/2020,58
04/05/2020,66
05/05/2020,58
06/05/2020,82
07/05/2020,58
08/05/2020,68
09/05/2020,27
10/05/2020,75
11/05/2020,46
12/05/2020,33
13/05/2020,35
14/05/2020,57
15/05/2020,53
16/05/2020,47
17/05/2020,53
18/05/2020,36
19/05/2020,63
20/05/2020,40
21/05/2020,83
22/05/2020,66
23/05/2020,25
24/05/2020,43
25/05/2020,33
