Day,Computer Vision: (United Kingdom)
01/03/2020,29
02/03/2020,81
03/03/2020,36
04/03/2020,27
05/03/2020,69
06/03/2020,99
07/03/2020,29
08/03/2020,43
09/03/2020,52
10/03/2020,27
11/03/2020,40
12/03/2020,0
13/03/2020,27
14/03/2020,44
15/03/2020,28
16/03/2020,0
17/03/2020,53
18/03/2020,26
19/03/2020,66
20/03/2020,40
21/03/2020,48
22/03/2020,44
23/03/2020,23
24/03/2020,50
25/03/2020,0
26/03/2020,39
27/03/2020,36
28/03/2020,27
29/03/2020,28
30/03/2020,33
31/03/2020,25
01/04/2020,100
02/04/2020,25
03/04/2020,51
04/04/2020,37
05/04/2020,38
06/04/2020,25
07/04/2020,51
08/04/2020,52
09/04/2020,51
10/04/2020,27
11/04/2020,28
12/04/2020,41
13/04/2020,40
14/04/2020,38
15/04/2020,61
16/04/2020,51
17/04/2020,25
18/04/2020,27
19/04/2020,0
20/04/2020,24
21/04/2020,75
22/04/2020,26
23/04/2020,24
24/04/2020,25
25/04/2020,28
26/04/2020,55
27/04/2020,61
28/04/2020,40
29/04/2020,48
30/04/2020,22
01/05/2020,49
02/05/2020,27
03/05/2020,27
04/05/2020,24
05/05/2020,0
06/05/2020,25
07/05/2020,33
08/05/2020,40
09/05/2020,42
10/05/2020,39
11/05/2020,48
12/05/2020,49
13/05/2020,36
14/05/2020,41
15/05/2020,38
16/05/2020,27
17/05/2020,42
18/05/2020,37
19/05/2020,50
20/05/2020,39
21/05/2020,38
22/05/2020,57
23/05/2020,0
24/05/2020,28
25/05/2020,57
