Day,Quantum Computing: (United Kingdom)
01/03/2020,84
02/03/2020,26
03/03/2020,35
04/03/2020,39
05/03/2020,40
06/03/2020,55
07/03/2020,28
08/03/2020,56
09/03/2020,25
10/03/2020,39
11/03/2020,39
12/03/2020,76
13/03/2020,45
14/03/2020,57
15/03/2020,28
16/03/2020,38
17/03/2020,34
18/03/2020,25
19/03/2020,26
20/03/2020,26
21/03/2020,0
22/03/2020,28
23/03/2020,0
24/03/2020,36
25/03/2020,25
26/03/2020,50
27/03/2020,72
28/03/2020,40
29/03/2020,40
30/03/2020,60
31/03/2020,32
01/04/2020,24
02/04/2020,24
03/04/2020,0
04/04/2020,40
05/04/2020,28
06/04/2020,24
07/04/2020,49
08/04/2020,25
09/04/2020,49
10/04/2020,40
11/04/2020,27
12/04/2020,53
13/04/2020,61
14/04/2020,100
15/04/2020,64
16/04/2020,100
17/04/2020,49
18/04/2020,69
19/04/2020,55
20/04/2020,95
21/04/2020,24
22/04/2020,66
23/04/2020,48
24/04/2020,37
25/04/2020,27
26/04/2020,27
27/04/2020,32
28/04/2020,0
29/04/2020,70
30/04/2020,36
01/05/2020,24
02/05/2020,65
03/05/2020,27
04/05/2020,71
05/05/2020,37
06/05/2020,32
07/05/2020,24
08/05/2020,53
09/05/2020,27
10/05/2020,0
11/05/2020,39
12/05/2020,24
13/05/2020,47
14/05/2020,36
15/05/2020,24
16/05/2020,66
17/05/2020,40
18/05/2020,24
19/05/2020,32
20/05/2020,50
21/05/2020,33
22/05/2020,0
23/05/2020,51
24/05/2020,63
25/05/2020,28
