Category: All categories

Day,Digital Divide: (United Kingdom)
2020-03-01,39
2020-03-02,37
2020-03-03,36
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,39
2020-03-09,53
2020-03-10,0
2020-03-11,0
2020-03-12,36
2020-03-13,38
2020-03-14,0
2020-03-15,0
2020-03-16,36
2020-03-17,36
2020-03-18,35
2020-03-19,36
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,34
2020-03-25,69
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,33
2020-03-31,0
2020-04-01,34
2020-04-02,34
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,34
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,53
2020-04-16,35
2020-04-17,0
2020-04-18,36
2020-04-19,0
2020-04-20,66
2020-04-21,34
2020-04-22,0
2020-04-23,100
2020-04-24,35
2020-04-25,0
2020-04-26,0
2020-04-27,34
2020-04-28,98
2020-04-29,98
2020-04-30,0
2020-05-01,33
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,31
2020-05-06,0
2020-05-07,34
2020-05-08,37
2020-05-09,37
2020-05-10,0
2020-05-11,33
2020-05-12,0
2020-05-13,44
2020-05-14,67
2020-05-15,34
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,51
2020-05-20,35
2020-05-21,0
2020-05-22,34
2020-05-23,35
2020-05-24,0
2020-05-25,0
